Time,Entropy(log2)
9.659318637274548536e+00,3.673434131838354322e+00
9.699398797595190302e+00,3.675401542237806130e+00
9.739478957915832069e+00,3.677425420769810938e+00
9.779559118236472059e+00,3.679261338985861940e+00
9.819639278557113826e+00,3.680822569871271988e+00
9.859719438877755593e+00,3.682200409476776848e+00
9.899799599198395583e+00,3.683645073215091159e+00
9.939879759519037350e+00,3.685534579415407297e+00
9.979959919839679117e+00,3.688315249818493236e+00
1.002004008016032088e+01,3.692431405174386061e+00
1.006012024048096087e+01,3.698262118239247442e+00
1.010020040080160264e+01,3.706072111894249677e+00
1.014028056112224441e+01,3.715992174908997470e+00
1.018036072144288617e+01,3.728008011643466180e+00
1.022044088176352616e+01,3.741977646528944490e+00
1.026052104208416793e+01,3.757623374858292564e+00
1.030060120240480970e+01,3.774557180837875059e+00
1.034068136272544969e+01,3.792340355060759727e+00
1.038076152304609145e+01,3.810515149378387090e+00
1.042084168336673322e+01,3.828631833935114859e+00
1.046092184368737499e+01,3.846272434313670718e+00
1.050100200400801498e+01,3.863066421068860556e+00
1.054108216432865675e+01,3.878707084535915062e+00
1.058116232464929851e+01,3.892938891495171028e+00
1.062124248496994028e+01,3.905573606800404107e+00
1.066132264529058027e+01,3.916496935805175550e+00
1.070140280561122204e+01,3.925646512376945285e+00
1.074148296593186380e+01,3.933032606804149012e+00
1.078156312625250379e+01,3.938723632585037215e+00
1.082164328657314556e+01,3.942791502619793498e+00
1.086172344689378733e+01,3.945382528172252545e+00
1.090180360721442909e+01,3.946719682974655807e+00
1.094188376753506908e+01,3.947060299875418288e+00
1.098196392785571085e+01,3.946731666800932903e+00
1.102204408817635262e+01,3.946133455099339660e+00
1.106212424849699438e+01,3.945724616990595290e+00
1.110220440881763437e+01,3.945984442841242945e+00
1.114228456913827614e+01,3.947359909755859597e+00
1.118236472945891791e+01,3.950189417832032923e+00
1.122244488977955790e+01,3.954647861033838030e+00
1.126252505010019966e+01,3.960777498313654554e+00
1.130260521042084143e+01,3.968532242427052825e+00
1.134268537074148320e+01,3.977784964323813899e+00
1.138276553106212319e+01,3.988346757806812803e+00
1.142284569138276495e+01,3.999978903679845210e+00
1.146292585170340672e+01,4.012412099201592142e+00
1.150300601202404849e+01,4.025365944836520882e+00
1.154308617234468848e+01,4.038568299385303817e+00
