Time,Entropy(log2)
0.000000000000000000e+00,-0.000000000000000000e+00
4.008016032064128098e-02,2.984549834086840525e-08
8.016032064128256196e-02,1.546136033212607873e-06
1.202404809619238429e-01,1.511223619008476355e-05
1.603206412825651239e-01,7.457616929854336352e-05
2.004008016032063910e-01,2.527613633636963380e-04
2.404809619238476859e-01,6.746470614726801434e-04
2.805611222444889807e-01,1.525265221746762703e-03
3.206412825651302478e-01,3.050453783636568241e-03
3.607214428857715149e-01,5.549910758504791874e-03
4.008016032064127820e-01,9.362438124199571471e-03
4.408817635270541047e-01,1.484481406189230163e-02
4.809619238476953718e-01,2.234595370866384115e-02
5.210420841683366389e-01,3.217829829726803065e-02
5.611222444889779615e-01,4.458963714562746983e-02
6.012024048096191731e-01,5.973677608310559023e-02
6.412825651302604957e-01,7.766416138586047790e-02
6.813627254509018183e-01,9.828861817275075241e-02
7.214428857715430299e-01,1.213918523450880915e-01
7.615230460921843525e-01,1.466204838336703231e-01
8.016032064128255641e-01,1.734948980186494794e-01
8.416833667334668867e-01,2.014253160314134483e-01
8.817635270541082093e-01,2.297346366974115650e-01
9.218436873747494209e-01,2.576868223745282793e-01
9.619238476953907435e-01,2.845189767277462867e-01
1.002004008016031955e+00,3.094758383397402390e-01
1.042084168336673278e+00,3.318447588166366646e-01
1.082164328657314600e+00,3.509892365733380815e-01
1.122244488977955923e+00,3.663802308211445702e-01
1.162324649298597246e+00,3.776223255345394492e-01
1.202404809619238346e+00,3.844753004880316349e-01
1.242484969939879669e+00,3.868689276422576095e-01
1.282565130260520991e+00,3.849105540797904124e-01
1.322645290581162314e+00,3.788844461505863626e-01
1.362725450901803637e+00,3.692439550967631656e-01
1.402805611222444737e+00,3.565950886377457496e-01
1.442885771543086060e+00,3.416722481253914312e-01
1.482965931863727382e+00,3.253046491650969374e-01
1.523046092184368705e+00,3.083761958582670326e-01
1.563126252505010028e+00,2.917772969094410418e-01
1.603206412825651128e+00,2.763514631445271874e-01
1.643286573146292451e+00,2.628387981713303789e-01
1.683366733466933773e+00,2.518232842098678259e-01
1.723446893787575096e+00,2.436917260703621579e-01
1.763527054108216419e+00,2.386110149049292528e-01
1.803607214428857741e+00,2.365291238887158032e-01
1.843687374749498842e+00,2.371989702238420372e-01
1.883767535070140164e+00,2.402222400504896438e-01
1.923847695390781487e+00,2.451017276932633548e-01
1.963927855711422810e+00,2.512953629532895250e-01
2.004008016032063910e+00,2.582628350197910261e-01
2.044088176352705233e+00,2.655059077564133618e-01
2.084168336673346555e+00,2.725935838766312957e-01
2.124248496993987878e+00,2.791804974234330938e-01
2.164328657314629201e+00,2.850138246432523670e-01
2.204408817635270523e+00,2.899340678377110847e-01
2.244488977955911846e+00,2.938688067375251900e-01
2.284569138276553169e+00,2.968233164888371411e-01
2.324649298597194491e+00,2.988693993591119424e-01
2.364729458917835370e+00,3.001315398213599273e-01
2.404809619238476692e+00,3.007747021479347804e-01
2.444889779559118015e+00,3.009928159677833226e-01
2.484969939879759337e+00,3.010001807684585251e-01
2.525050100200400660e+00,3.010231435164622549e-01
2.565130260521041983e+00,3.012970037402448176e-01
2.605210420841683305e+00,3.020621199745228691e-01
2.645290581162324628e+00,3.035630799376407563e-01
2.685370741482965951e+00,3.060466855626648441e-01
2.725450901803607273e+00,3.097596765073046265e-01
2.765531062124248596e+00,3.149410327769642248e-01
2.805611222444889474e+00,3.218156332876256354e-01
2.845691382765530797e+00,3.305822720302614148e-01
2.885771543086172120e+00,3.414017096486974823e-01
2.925851703406813442e+00,3.543850263191883343e-01
2.965931863727454765e+00,3.695805860668084364e-01
3.006012024048096087e+00,3.869657218854459235e-01
3.046092184368737410e+00,4.064385449951612439e-01
3.086172344689378733e+00,4.278140820340980977e-01
3.126252505010020055e+00,4.508235837295950788e-01
3.166332665330661378e+00,4.751193494297268338e-01
3.206412825651302256e+00,5.002829062481712885e-01
3.246492985971943579e+00,5.258377470091385453e-01
3.286573146292584902e+00,5.512671362029961664e-01
3.326653306613226224e+00,5.760333703994160448e-01
3.366733466933867547e+00,5.996002143772853898e-01
3.406813627254508869e+00,6.214558399231360220e-01
3.446893787575150192e+00,6.411373623519395215e-01
3.486973947895791515e+00,6.582512154219868350e-01
3.527054108216432837e+00,6.724938301830294396e-01
3.567134268537074160e+00,6.836662684441293658e-01
3.607214428857715482e+00,6.916876797395665744e-01
3.647294589178356361e+00,6.965988200410933029e-01
3.687374749498997684e+00,6.985634895400139044e-01
3.727454909819639006e+00,6.978612579251783909e-01
3.767535070140280329e+00,6.948757234911281389e-01
3.807615230460921651e+00,6.900750316902691806e-01
3.847695390781562974e+00,6.839871690047721886e-01
3.887775551102204297e+00,6.771733105631815297e-01
3.927855711422845619e+00,6.701944856718518029e-01
3.967935871743486942e+00,6.635817819361956582e-01
4.008016032064127820e+00,6.578047292497753995e-01
4.048096192384769587e+00,6.532479665670406499e-01
4.088176352705410466e+00,6.501909295194042704e-01
4.128256513026052232e+00,6.487977065788557152e-01
4.168336673346693111e+00,6.491155033320269441e-01
4.208416833667334878e+00,6.510822520703838379e-01
4.248496993987975756e+00,6.545416025600283572e-01
4.288577154308616635e+00,6.592633198513165871e-01
4.328657314629258401e+00,6.649671589593880716e-01
4.368737474949899280e+00,6.713472767607615577e-01
4.408817635270541047e+00,6.780949115315798581e-01
4.448897795591181925e+00,6.849173313476375480e-01
4.488977955911823692e+00,6.915550034847127714e-01
4.529058116232464570e+00,6.977911170592860923e-01
4.569138276553106337e+00,7.034593901053234344e-01
4.609218436873747216e+00,7.084459259219406668e-01
4.649298597194388982e+00,7.126897756854511101e-01
4.689378757515029861e+00,7.161780819854249858e-01
4.729458917835670739e+00,7.189442862789215960e-01
4.769539078156312506e+00,7.210607909862045695e-01
4.809619238476953385e+00,7.226343655634590579e-01
4.849699398797595151e+00,7.238006129322844817e-01
4.889779559118236030e+00,7.247206773721284190e-01
4.929859719438877796e+00,7.255772684314150123e-01
4.969939879759518675e+00,7.265713195578754613e-01
5.010020040080160442e+00,7.279194244943538727e-01
5.050100200400801320e+00,7.298501330065634285e-01
5.090180360721443087e+00,7.325984394796263288e-01
5.130260521042083965e+00,7.364007579567782846e-01
5.170340681362724844e+00,7.414847959811121658e-01
5.210420841683366611e+00,7.480579645806588740e-01
5.250501002004007489e+00,7.562978697380854376e-01
5.290581162324649256e+00,7.663368760626222409e-01
5.330661322645290134e+00,7.782511888292457103e-01
5.370741482965931901e+00,7.920499077181468728e-01
5.410821643286572780e+00,8.076681171151405270e-01
5.450901803607214546e+00,8.249628340655597025e-01
5.490981963927855425e+00,8.437121452870081084e-01
5.531062124248497192e+00,8.636216723794285510e-01
5.571142284569138070e+00,8.843316700709388245e-01
5.611222444889778949e+00,9.054318080329214480e-01
5.651302605210420715e+00,9.264743588407814423e-01
5.691382765531061594e+00,9.469966891436895073e-01
5.731462925851703361e+00,9.665371117685982449e-01
5.771543086172344239e+00,9.846588799416313709e-01
