Time,Entropy(log2)
6.172344689378757465e+00,1.278220505252494199e+00
6.212424849699398344e+00,1.275166223047417002e+00
6.252505010020040110e+00,1.271996894452894322e+00
6.292585170340680989e+00,1.269182491327407902e+00
6.332665330661322756e+00,1.267188949504170159e+00
6.372745490981963634e+00,1.266449723743568789e+00
6.412825651302604513e+00,1.267336642783361444e+00
6.452905811623246279e+00,1.270133758196388740e+00
6.492985971943887158e+00,1.275018344146775284e+00
6.533066132264528925e+00,1.282049841857212602e+00
6.573146292585169803e+00,1.291168798223431891e+00
6.613226452905811570e+00,1.302202056243246142e+00
6.653306613226452448e+00,1.314877913255111830e+00
6.693386773547094215e+00,1.328844314538561999e+00
6.733466933867735094e+00,1.343692446692767106e+00
6.773547094188376860e+00,1.358978493017041211e+00
6.813627254509017739e+00,1.374248028785839626e+00
6.853707414829658617e+00,1.389057676557451382e+00
6.893787575150300384e+00,1.402994527110120293e+00
6.933867735470941263e+00,1.415692426158538408e+00
6.973947895791583029e+00,1.426845283844188739e+00
7.014028056112223908e+00,1.436217518023455986e+00
7.054108216432865675e+00,1.443649079872341146e+00
7.094188376753506553e+00,1.449059204833322845e+00
7.134268537074148320e+00,1.452445899239005245e+00
7.174348697394789198e+00,1.453883589420943645e+00
7.214428857715430965e+00,1.453516807656698440e+00
7.254509018036071843e+00,1.451553443332710192e+00
7.294589178356712722e+00,1.448254576352778100e+00
7.334669338677354489e+00,1.443924457241869908e+00
7.374749498997995367e+00,1.438898363968959648e+00
7.414829659318637134e+00,1.433530282137872147e+00
7.454909819639278012e+00,1.428178933327788780e+00
7.494989979959919779e+00,1.423194737517442965e+00
7.535070140280560658e+00,1.418907219562806521e+00
7.575150300601202424e+00,1.415610957423720784e+00
7.615230460921843303e+00,1.413554704362056880e+00
7.655310621242485070e+00,1.412930610633091222e+00
7.695390781563125948e+00,1.413868035448953453e+00
7.735470941883766827e+00,1.416427024725449124e+00
7.775551102204408593e+00,1.420598361248226027e+00
7.815631262525049472e+00,1.426303707164795487e+00
7.855711422845691239e+00,1.433402109481829445e+00
7.895791583166332117e+00,1.441698001762539594e+00
7.935871743486973884e+00,1.450952023232261912e+00
7.975951903807614762e+00,1.460892176152709609e+00
8.016032064128255641e+00,1.471227175112889141e+00
8.056112224448897408e+00,1.481659719421443366e+00
8.096192384769539174e+00,1.491897083778213506e+00
8.136272545090179165e+00,1.501664349982477109e+00
8.176352705410820931e+00,1.510713361221973861e+00
8.216432865731462698e+00,1.518831506696534772e+00
8.256513026052104465e+00,1.525848153275473740e+00
8.296593186372744455e+00,1.531639989460966689e+00
8.336673346693386222e+00,1.536131858922230364e+00
8.376753507014027988e+00,1.539299624480109596e+00
8.416833667334669755e+00,1.541171150310321147e+00
8.456913827655309746e+00,1.541825854376653870e+00
8.496993987975951512e+00,1.541393783603131507e+00
8.537074148296593279e+00,1.540051731696164383e+00
8.577154308617233269e+00,1.538017369601793582e+00
8.617234468937875036e+00,1.535539703989333482e+00
8.657314629258516803e+00,1.532890785245090370e+00
8.697394789579158569e+00,1.530349985778367783e+00
8.737474949899798560e+00,1.528192581036370346e+00
8.777555110220440326e+00,1.526674124641459462e+00
8.817635270541082093e+00,1.526018403355543507e+00
8.857715430861723860e+00,1.526404414100451357e+00
8.897795591182363850e+00,1.527957103586584875e+00
8.937875751503005617e+00,1.530741339400045753e+00
8.977955911823647384e+00,1.534757882815724672e+00
9.018036072144287374e+00,1.539945482229401863e+00
9.058116232464929141e+00,1.546184275262344476e+00
9.098196392785570907e+00,1.553305926234971768e+00
9.138276553106212674e+00,1.561100689852324974e+00
9.178356713426852664e+00,1.569331518197491837e+00
9.218436873747494431e+00,1.577745615268022261e+00
9.258517034068136198e+00,1.586087471013774675e+00
9.298597194388777964e+00,1.594109352213064268e+00
9.338677354709417955e+00,1.601581753235787886e+00
9.378757515030059722e+00,1.608302813012762122e+00
9.418837675350701488e+00,1.614103381482364874e+00
9.458917835671341479e+00,1.618854563994321483e+00
9.498997995991983245e+00,1.622471120263502264e+00
9.539078156312625012e+00,1.624916501936395585e+00
9.579158316633266779e+00,1.626203263750231498e+00
9.619238476953906769e+00,1.626396751345077885e+00
9.659318637274548536e+00,1.625612727655511236e+00
9.699398797595190302e+00,1.624016632121663140e+00
9.739478957915832069e+00,1.621818527034703861e+00
9.779559118236472059e+00,1.619268823935023249e+00
9.819639278557113826e+00,1.616648161694408392e+00
9.859719438877755593e+00,1.614258266418321819e+00
9.899799599198395583e+00,1.612409556174952296e+00
9.939879759519037350e+00,1.611406363954817067e+00
9.979959919839679117e+00,1.611532855365966910e+00
1.002004008016032088e+01,1.613036343759777003e+00
1.006012024048096087e+01,1.616112882094861147e+00
1.010020040080160264e+01,1.620891192829955196e+00
1.014028056112224441e+01,1.627424009389651705e+00
1.018036072144288617e+01,1.635678935222766084e+00
1.022044088176352616e+01,1.645537946595698298e+00
1.026052104208416793e+01,1.656801824644733578e+00
1.030060120240480970e+01,1.669202362424347053e+00
1.034068136272544969e+01,1.682414753115604622e+00
1.038076152304609145e+01,1.696077969819057341e+00
1.042084168336673322e+01,1.709813870943941216e+00
