# time correlation overlap_with_initial
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00
4.008016032064128098e-02 -9.960829249453422296e-01 9.825105803872311583e-01
8.016032064128256196e-02 -9.843626558007578797e-01 9.317921394822925585e-01
1.202404809619238429e-01 -9.649328936391278200e-01 8.528167019831645046e-01
1.603206412825651239e-01 -9.379519857561821050e-01 7.530020104238995815e-01
2.004008016032063910e-01 -9.036454490035655818e-01 6.410982086565912841e-01
2.404809619238476859e-01 -8.623096755185110096e-01 5.259644191618007003e-01
2.805611222444889807e-01 -8.143154557713185859e-01 4.154619417523208180e-01
3.206412825651302478e-01 -7.601119975391852357e-01 3.156497470836028829e-01
3.607214428857715149e-01 -7.002306503632964585e-01 2.303783312474058653e-01
4.008016032064127820e-01 -6.352871933306221131e-01 1.612852942702831249e-01
4.408817635270541047e-01 -5.659826537708542160e-01 1.081171436169206107e-01
4.809619238476953718e-01 -4.931029006580597840e-01 6.925058549157064869e-02
5.210420841683366389e-01 -4.175155977004271768e-01 4.227530946672054118e-02
5.611222444889779615e-01 -3.401635538316795659e-01 2.452302440720740759e-02
6.012024048096191731e-01 -2.620563651087023382e-01 1.346814082454350463e-02
6.412825651302604957e-01 -1.842587975568645287e-01 6.972233464624996019e-03
6.813627254509018183e-01 -1.078750568861517045e-01 3.383890732382781232e-03
7.214428857715430299e-01 -3.403094619232106127e-02 1.529392375946615496e-03
7.615230460921843525e-01 3.614619217882340807e-02 6.382385764689137934e-04
8.016032064128255641e-01 1.015501704925245025e-01 2.432384338322136745e-04
8.416833667334668867e-01 1.611204722527155297e-01 8.343312310876906817e-05
8.817635270541082093e-01 2.138662125406541603e-01 2.524805300898882323e-05
9.218436873747494209e-01 2.588903133788044153e-01 6.550586433132076822e-06
9.619238476953907435e-01 2.954132311242882447e-01 1.395342391217355157e-06
1.002004008016031955e+00 3.227935516217196321e-01 2.272750911966789472e-07
1.042084168336673278e+00 3.405458144166756407e-01 2.483881477731435544e-08
1.082164328657314600e+00 3.483549478571270064e-01 1.382739461513348848e-09
1.122244488977955923e+00 3.460860191493809190e-01 3.386271352611933211e-11
1.162324649298597246e+00 3.337888835273781774e-01 3.121180442894664842e-12
