# time correlation overlap_with_initial
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00
4.008016032064128098e-02 -9.962343683160541641e-01 9.831816766711823918e-01
8.016032064128256196e-02 -9.849660023099614525e-01 9.343451399680431368e-01
1.202404809619238429e-01 -9.662812186562766970e-01 8.580988246193619329e-01
1.603206412825651239e-01 -9.403257876191242204e-01 7.613482851049869771e-01
2.004008016032063910e-01 -9.073073479318816137e-01 6.522972440672044625e-01
2.404809619238476859e-01 -8.674984147282821523e-01 5.393366326241180175e-01
2.805611222444889807e-01 -8.212396714485059590e-01 4.300242399175100982e-01
3.206412825651302478e-01 -7.689439815021795743e-01 3.303201331273320496e-01
3.607214428857715149e-01 -7.110992713870644133e-01 2.441691091568812255e-01
4.008016032064127820e-01 -6.482707556195235199e-01 1.734468765304050253e-01
4.408817635270541047e-01 -5.811028468810782721e-01 1.182106274258353656e-01
4.809619238476953718e-01 -5.103182536653958490e-01 7.714756100897847413e-02
5.210420841683366389e-01 -4.367154419168639001e-01 4.810245335924865501e-02
5.611222444889779615e-01 -3.611647254446005428e-01 2.857621625991835571e-02
6.012024048096191731e-01 -2.846002620340081779e-01 1.612178368481104879e-02
6.412825651302604957e-01 -2.080099847048974548e-01 8.603567397639812903e-03
6.813627254509018183e-01 -1.324236942115556426e-01 4.322282970965282342e-03
7.214428857715430299e-01 -5.889682574158623674e-02 2.032095151270087423e-03
7.615230460921843525e-01 1.150724281254952158e-02 8.874708007165727029e-04
8.016032064128255641e-01 7.773615528920223283e-02 3.566470498894160871e-04
8.416833667334668867e-01 1.387706725325847101e-01 1.302702737635592510e-04
8.817635270541082093e-01 1.936465054339925884e-01 4.253897606308545688e-05
9.218436873747494209e-01 2.414758187894421038e-01 1.213475959167348681e-05
9.619238476953907435e-01 2.814694546959165544e-01 2.923361504756907738e-06
1.002004008016031955e+00 3.129565724397501136e-01 5.640081752574272125e-07
1.042084168336673278e+00 3.354019082381749506e-01 7.949423249804942208e-08
1.082164328657314600e+00 3.484209647446580016e-01 6.806373794529526953e-09
1.122244488977955923e+00 3.517906852316292632e-01 2.285539138962875772e-10
1.162324649298597246e+00 3.454562132735367608e-01 9.873608286483685623e-12
1.202404809619238346e+00 3.295335370481419224e-01 5.408807012641098054e-13
1.242484969939879669e+00 3.043070734788408394e-01 1.473689542781747827e-12
1.282565130260520991e+00 2.702231485264846578e-01 5.304077462769811839e-12
1.322645290581162314e+00 2.278788833915953993e-01 1.668541029713359245e-11
1.362725450901803637e+00 1.780072872686476737e-01 2.992664236368876875e-11
1.402805611222444737e+00 1.214595852850184343e-01 4.798609606651498467e-11
1.442885771543086060e+00 5.918409629581680709e-02 9.921730844776984004e-11
1.482965931863727382e+00 -7.796046482243397177e-03 2.016422472560868968e-10
1.523046092184368705e+00 -7.840567234983626677e-02 3.439795343611164369e-10
1.563126252505010028e+00 -1.515417542542970841e-01 5.217364503490461321e-10
1.603206412825651128e+00 -2.260958280701703960e-01 7.769124909356965614e-10
1.643286573146292451e+00 -3.009747510084743727e-01 1.186706832214757553e-09
1.683366733466933773e+00 -3.751209622716448755e-01 1.812616104056341822e-09
1.723446893787575096e+00 -4.475289163357009103e-01 2.661682246710374408e-09
1.763527054108216419e+00 -5.172586898249319498e-01 3.691379055140115043e-09
1.803607214428857741e+00 -5.834481112460536689e-01 4.843828246787235539e-09
1.843687374749498842e+00 -6.453204689808644812e-01 6.071887329442742179e-09
1.883767535070140164e+00 -7.021895153513492138e-01 7.338408782517841871e-09
1.923847695390781487e+00 -7.534631018536649405e-01 8.598645432443577958e-09
1.963927855711422810e+00 -7.986431667175369897e-01 9.786048163620720300e-09
2.004008016032063910e+00 -8.373240944310953449e-01 1.081637837173345231e-08
2.044088176352705233e+00 -8.691905098103606120e-01 1.160766234754735441e-08
2.084168336673346555e+00 -8.940129489237254035e-01 1.210177989787967711e-08
2.124248496993987878e+00 -9.116432569675522180e-01 1.227815540032251018e-08
2.164328657314629201e+00 -9.220102931371494392e-01 1.215557387596443389e-08
2.204408817635270523e+00 -9.251150484598501533e-01 1.178388597700667181e-08
2.244488977955911846e+00 -9.210264838915614982e-01 1.123139559376526029e-08
2.284569138276553169e+00 -9.098780973437238240e-01 1.057119153323061857e-08
2.324649298597194491e+00 -8.918649175674283613e-01 9.868991365399247861e-09
2.364729458917835370e+00 -8.672414878935803539e-01 9.174312380468054139e-09
2.404809619238476692e+00 -8.363203249155467534e-01 8.515061073921172528e-09
2.444889779559118015e+00 -7.994711034328956245e-01 7.896361293713448248e-09
2.484969939879759337e+00 -7.571203551092923201e-01 7.303377374531297186e-09
2.525050100200400660e+00 -7.097508025834007306e-01 6.707285757377195606e-09
2.565130260521041983e+00 -6.579011296578396450e-01 6.074253860195025219e-09
2.605210420841683305e+00 -6.021653005107877599e-01 5.375195152755144556e-09
2.645290581162324628e+00 -5.431904209300387754e-01 4.593234302230473904e-09
2.685370741482965951e+00 -4.816744957037618069e-01 3.727064705026404351e-09
2.725450901803607273e+00 -4.183627099072515509e-01 2.789754883742962113e-09
2.765531062124248596e+00 -3.540413636239949091e-01 1.809615767127251961e-09
2.805611222444889474e+00 -2.895313380416565940e-01 8.537123677412785465e-10
2.845691382765530797e+00 -2.256794694812909730e-01 1.226483188207334467e-10
2.885771543086172120e+00 -1.633473367212894822e-01 2.350480838232845308e-10
2.925851703406813442e+00 -1.033998940021581131e-01 2.988476004857999860e-09
2.965931863727454765e+00 -4.669210101375690508e-02 1.328306950898615720e-08
3.006012024048096087e+00 5.947464051407686664e-03 4.380600938024346108e-08
3.046092184368737410e+00 5.373077841797116450e-02 1.260488025363645447e-07
3.086172344689378733e+00 9.592528634890877537e-02 3.352679723474496452e-07
3.126252505010020055e+00 1.318713038490082201e-01 8.448948491934765173e-07
3.166332665330661378e+00 1.609954400794633145e-01 2.040376119229184524e-06
3.206412825651302256e+00 1.828252255595424758e-01 4.747737779404641422e-06
3.246492985971943579e+00 1.970011370588343746e-01 1.067382894403101088e-05
3.286573146292584902e+00 2.032859079766789756e-01 2.321947330239481743e-05
3.326653306613226224e+00 2.015717008026774448e-01 4.892000093793123685e-05
3.366733466933867547e+00 1.918843504386768539e-01 9.989205900585845235e-05
3.406813627254508869e+00 1.743839926870716095e-01 1.978143108813072292e-04
3.446893787575150192e+00 1.493627582821452637e-01 3.801239217105639441e-04
3.486973947895791515e+00 1.172390093379139658e-01 7.092233568616391256e-04
3.527054108216432837e+00 7.854850464608389982e-02 1.285493716053053188e-03
3.567134268537074160e+00 3.393285269337817378e-02 2.264700834931161668e-03
3.607214428857715482e+00 -1.587481314201055760e-02 3.879827421928239498e-03
3.647294589178356361e+00 -7.006565383663945767e-02 6.466391800858713700e-03
3.687374749498997684e+00 -1.277725081158936071e-01 1.048880975732093337e-02
3.727454909819639006e+00 -1.880884849348133658e-01 1.656339373723257624e-02
3.767535070140280329e+00 -2.500850040170491950e-01 2.547150239666598481e-02
3.807615230460921651e+00 -3.128298835716226134e-01 3.815432035155442297e-02
3.847695390781562974e+00 -3.754048817648238390e-01 5.567971379031841361e-02
3.887775551102204297e+00 -4.369209484436301638e-01 7.917242274631317023e-02
3.927855711422845619e+00 -4.965323239703686720e-01 1.097016186344714761e-01
3.967935871743486942e+00 -5.534488664674469538e-01 1.481260564393515611e-01
4.008016032064127820e+00 -6.069452654541281911e-01 1.949058976634067408e-01
4.048096192384769587e+00 -6.563686709966787269e-01 2.499004048091750252e-01
4.088176352705410466e+00 -7.011442348849825645e-01 3.121817763929377598e-01
4.128256513026052232e+00 -7.407777843022255171e-01 3.799026611807469478e-01
4.168336673346693111e+00 -7.748572666315215463e-01 4.502571002849627413e-01
4.208416833667334878e+00 -8.030526096375397715e-01 5.195691216026114834e-01
4.248496993987975756e+00 -8.251137233978167451e-01 5.835266691606725287e-01
4.288577154308616635e+00 -8.408680592364433659e-01 6.375565493805104289e-01
4.328657314629258401e+00 -8.502174769585481018e-01 6.773071123275248295e-01
4.368737474949899280e+00 -8.531344703344776459e-01 6.991769048679874476e-01
4.408817635270541047e+00 -8.496586658936888803e-01 7.008100041769017574e-01
4.448897795591181925e+00 -8.398934046261101738e-01 6.814706445936392631e-01
4.488977955911823692e+00 -8.240025832448253373e-01 6.422219361164810403e-01
4.529058116232464570e+00 -8.022080223131525800e-01 5.858633946101931000e-01
4.569138276553106337e+00 -7.747872247181841754e-01 5.166226408798052505e-01
4.609218436873747216e+00 -7.420716935563614891e-01 4.396445820960087070e-01
4.649298597194388982e+00 -7.044454305974765518e-01 3.603596237038502181e-01
4.689378757515029861e+00 -6.623435925512634048e-01 2.838379092666122316e-01
4.729458917835670739e+00 -6.162514208892794221e-01 2.142384506224211116e-01
4.769539078156312506e+00 -5.667025494438772126e-01 1.544379488522290289e-01
4.809619238476953385e+00 -5.142768931454727577e-01 1.058876673007977803e-01
4.849699398797595151e+00 -4.595982076007845141e-01 6.869731308068456610e-02
4.889779559118236030e+00 -4.033301207883291939e-01 4.190006258370151254e-02
4.929859719438877796e+00 -3.461711940639972673e-01 2.382490861478209210e-02
4.969939879759518675e+00 -2.888491356432509316e-01 1.249089486276085126e-02
5.010020040080160442e+00 -2.321129111752749385e-01 5.948689367716779829e-03
5.050100200400801320e+00 -1.767237480639604341e-01 2.520812096106802083e-03
5.090180360721443087e+00 -1.234452310310203416e-01 9.232906235608602866e-04
5.130260521042083965e+00 -7.303139757802956655e-02 2.810467181507541614e-04
5.170340681362724844e+00 -2.621424778183837831e-02 6.868575926492150768e-05
5.210420841683366611e+00 1.630908132837738389e-02 1.519268189224762605e-05
5.250501002004007489e+00 5.389025946005890355e-02 6.378380269169860699e-06
5.290581162324649256e+00 8.594317303289211729e-02 7.086447143269315022e-06
5.330661322645290134e+00 1.119565865031260793e-01 1.153830105958962372e-05
5.370741482965931901e+00 1.315064989038666476e-01 1.924688052646282070e-05
5.410821643286572780e+00 1.442666258875113239e-01 2.806166375017332516e-05
5.450901803607214546e+00 1.500169539526546858e-01 3.511019079287631083e-05
5.490981963927855425e+00 1.486505414867754504e-01 3.900090686342608172e-05
5.531062124248497192e+00 1.401774492506279723e-01 4.035442760562136930e-05
5.571142284569138070e+00 1.247260045890062480e-01 4.066916824915562165e-05
5.611222444889778949e+00 1.025414137867937669e-01 4.084559930389729292e-05
5.651302605210420715e+00 7.398134726821140039e-02 4.054721584683114135e-05
5.691382765531061594e+00 3.950895019617789439e-02 3.868939332144374183e-05
5.731462925851703361e+00 -3.167899640809188760e-04 3.453201941027614184e-05
5.771543086172344239e+00 -4.485285947891822639e-02 2.856281863920178177e-05
5.811623246492986006e+00 -9.338566038662685087e-02 2.262315517396209941e-05
