# time correlation overlap_with_initial
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00
4.008016032064128098e-02 -9.964519244448327706e-01 9.841464537077607710e-01
8.016032064128256196e-02 -9.858329447902710596e-01 9.380243937397438891e-01
1.202404809619238429e-01 -9.682193766353273112e-01 8.657424545744574207e-01
1.603206412825651239e-01 -9.437400500494412814e-01 7.734963320366158301e-01
2.004008016032063910e-01 -9.125784146915387751e-01 6.687205649450652656e-01
2.404809619238476859e-01 -8.749746725520182178e-01 5.591299358501400363e-01
2.805611222444889807e-01 -8.312293548321714187e-01 4.518213135537682001e-01
3.206412825651302478e-01 -7.817059327153506043e-01 3.525684414370325870e-01
3.607214428857715149e-01 -7.268336918025462001e-01 2.654024839735059649e-01
4.008016032064127820e-01 -6.671105887995169015e-01 1.924994649329891672e-01
4.408817635270541047e-01 -6.031035809580170826e-01 1.343376277811771380e-01
4.809619238476953718e-01 -5.354498922309965936e-01 9.004883963779462819e-02
5.210420841683366389e-01 -4.648548317626518545e-01 5.786372645603430481e-02
5.611222444889779615e-01 -3.920884903858558590e-01 3.555982676762482753e-02
6.012024048096191731e-01 -3.179812411527583316e-01 2.084115573206724373e-02
6.412825651302604957e-01 -2.434146895334767524e-01 1.161020924173576663e-02
6.813627254509018183e-01 -1.693132180101239725e-01 6.122981637852112705e-03
7.214428857715430299e-01 -9.663103590203443727e-02 3.041994929909461187e-03
7.615230460921843525e-01 -2.633785250966099237e-02 1.415142033557866648e-03
8.016032064128255641e-01 4.059619167520383404e-02 6.117774655915573677e-04
8.416833667334668867e-01 1.032195540027948111e-01 2.434102731282997644e-04
8.817635270541082093e-01 1.606164669693514735e-01 8.801093196140311633e-05
9.218436873747494209e-01 2.119266268222717575e-01 2.842964698649586713e-05
9.619238476953907435e-01 2.563641622948612531e-01 8.010158978186876684e-06
1.002004008016031955e+00 2.932348910341512349e-01 1.899996718780441731e-06
1.042084168336673278e+00 3.219539973266623556e-01 3.585751827472271261e-07
1.082164328657314600e+00 3.420596604277998942e-01 4.868447656476547164e-08
1.122244488977955923e+00 3.532253940414812887e-01 3.829747927019893677e-09
1.162324649298597246e+00 3.552688220828137400e-01 9.079789019812561143e-11
1.202404809619238346e+00 3.481567328528531458e-01 6.191520759784193476e-12
1.242484969939879669e+00 3.320069287549952675e-01 6.477682520170393068e-13
1.282565130260520991e+00 3.070857744367266884e-01 3.811182027480166954e-13
1.322645290581162314e+00 2.738024004312374360e-01 1.746314763222476612e-12
1.362725450901803637e+00 2.326988977378859902e-01 7.048137974702677378e-12
1.402805611222444737e+00 1.844381021390759101e-01 1.022974960631087500e-11
1.442885771543086060e+00 1.297875896967718989e-01 1.220685336672553397e-11
1.482965931863727382e+00 6.960256601518792496e-02 2.998881739353789739e-11
1.523046092184368705e+00 4.806848185762988175e-03 6.814868975857330048e-11
1.563126252505010028e+00 -6.362763014844176335e-02 1.067278099516301664e-10
1.603206412825651128e+00 -1.346997868652163033e-01 1.304148735522714857e-10
1.643286573146292451e+00 -2.074001547354909214e-01 1.575754205911425886e-10
1.683366733466933773e+00 -2.807285813619706527e-01 2.284604496465018514e-10
1.723446893787575096e+00 -3.537111674341322232e-01 3.654777744749975926e-10
1.763527054108216419e+00 -4.254160508899488269e-01 5.490410238916796338e-10
1.803607214428857741e+00 -4.949648207638200348e-01 7.316432283163633892e-10
1.843687374749498842e+00 -5.615441568515449067e-01 8.734838983634869225e-10
1.883767535070140164e+00 -6.244128487055057297e-01 9.657024607006985791e-10
1.923847695390781487e+00 -6.829071840530378523e-01 1.025267510680574625e-09
1.963927855711422810e+00 -7.364448933074388970e-01 1.072166774356952931e-09
2.004008016032063910e+00 -7.845251500282673929e-01 1.111045005078887372e-09
2.044088176352705233e+00 -8.267290379693279512e-01 1.130390865011119674e-09
2.084168336673346555e+00 -8.627169876285533112e-01 1.114811616506660949e-09
2.124248496993987878e+00 -8.922257178396455490e-01 1.057920080435574645e-09
2.164328657314629201e+00 -9.150650863164594417e-01 9.665200785303192882e-10
2.204408817635270523e+00 -9.311134015620489146e-01 8.561530641144479302e-10
2.244488977955911846e+00 -9.403139536374723884e-01 7.438261394963648541e-10
2.284569138276553169e+00 -9.426709486028898022e-01 6.431341116527228266e-10
2.324649298597194491e+00 -9.382461850920672530e-01 5.632362366009579176e-10
2.364729458917835370e+00 -9.271564419900876208e-01 5.101094191231374832e-10
2.404809619238476692e+00 -9.095713063297120593e-01 4.884124029295381133e-10
2.444889779559118015e+00 -8.857118244956293518e-01 5.030648079259265471e-10
2.484969939879759337e+00 -8.558497093159019853e-01 5.599920476787374122e-10
2.525050100200400660e+00 -8.203072631025027928e-01 6.650666940071978947e-10
2.565130260521041983e+00 -7.794571542368500250e-01 8.203803155440260092e-10
2.605210420841683305e+00 -7.337231259046833598e-01 1.018485809558346365e-09
2.645290581162324628e+00 -6.835797768984009926e-01 1.237452003044475797e-09
2.685370741482965951e+00 -6.295524615101475430e-01 1.440174455949039511e-09
2.725450901803607273e+00 -5.722168643235885366e-01 1.579879658772454730e-09
2.765531062124248596e+00 -5.121965629083135019e-01 1.610258394394033504e-09
2.805611222444889474e+00 -4.501611341576194913e-01 1.496261108422342761e-09
2.845691382765530797e+00 -3.868214502573325553e-01 1.222578006941288710e-09
2.885771543086172120e+00 -3.229242467643853032e-01 8.038192887081309941e-10
2.925851703406813442e+00 -2.592462403076785660e-01 3.168210548069283348e-10
2.965931863727454765e+00 -1.965825043597325961e-01 1.047183039009571462e-11
3.006012024048096087e+00 -1.357399622017435858e-01 6.348897390999131839e-10
3.046092184368737410e+00 -7.752335516611223720e-02 4.332676900867516646e-09
3.086172344689378733e+00 -2.272358458273212450e-02 1.691401206454297319e-08
3.126252505010020055e+00 2.789562695382972329e-02 5.338862171031620220e-08
3.166332665330661378e+00 7.361238425802527074e-02 1.508391436503933296e-07
3.206412825651302256e+00 1.137599989053905691e-01 3.970680683100355795e-07
3.246492985971943579e+00 1.477418122221930141e-01 9.916371569465043253e-07
3.286573146292584902e+00 1.750445853372409322e-01 2.370453802605434933e-06
3.326653306613226224e+00 1.952481128807262156e-01 5.449211267260513201e-06
3.366733466933867547e+00 2.080381033995644946e-01 1.208042220695535562e-05
3.406813627254508869e+00 2.132129591560319171e-01 2.587629921925505659e-05
3.446893787575150192e+00 2.106898921534467173e-01 5.363243269036973730e-05
3.486973947895791515e+00 2.005080083044236405e-01 1.076932546752268170e-04
3.527054108216432837e+00 1.828284430147125994e-01 2.097246187017136408e-04
3.567134268537074160e+00 1.579319536888412201e-01 3.964845549189460880e-04
3.607214428857715482e+00 1.262133745965816345e-01 7.282702235044367922e-04
3.647294589178356361e+00 8.817365148805039743e-02 1.300717791025427731e-03
3.687374749498997684e+00 4.440917105776633067e-02 2.260452205768011605e-03
3.727454909819639006e+00 -4.400466007248230241e-03 3.824658786321221988e-03
3.767535070140280329e+00 -5.750707145663884468e-02 6.303833578495165839e-03
3.807615230460921651e+00 -1.141089210576072266e-01 1.012582797333461647e-02
3.847695390781562974e+00 -1.733668443014247107e-01 1.585769957474203115e-02
3.887775551102204297e+00 -2.344208334109975367e-01 2.422009695869284038e-02
3.927855711422845619e+00 -2.964052580442644858e-01 3.608733969017330345e-02
3.967935871743486942e+00 -3.584648369735569662e-01 5.246493895307569044e-02
4.008016032064127820e+00 -4.197680516290559494e-01 7.443681125208120863e-02
4.048096192384769587e+00 -4.795197008331619770e-01 1.030758230874657816e-01
4.088176352705410466e+00 -5.369721578704506060e-01 1.393156864025093811e-01
4.128256513026052232e+00 -5.914334150210720509e-01 1.837888578465265710e-01
4.168336673346693111e+00 -6.422748951298751230e-01 2.366429538776149144e-01
4.208416833667334878e+00 -6.889358962397439390e-01 2.973582125496237460e-01
4.248496993987975756e+00 -7.309267814822020259e-01 3.645955458372980851e-01
4.288577154308616635e+00 -7.678309497465611866e-01 4.361104747802252990e-01
4.328657314629258401e+00 -7.993042001472353553e-01 5.087657118356959662e-01
4.368737474949899280e+00 -8.250742559757584527e-01 5.786685425845324859e-01
4.408817635270541047e+00 -8.449383565688214359e-01 6.414410635666443206e-01
4.448897795591181925e+00 -8.587605690355053500e-01 6.926103698710919243e-01
4.488977955911823692e+00 -8.664690511820014596e-01 7.280816042541180533e-01
4.529058116232464570e+00 -8.680525386870074911e-01 7.446313217420154063e-01
4.569138276553106337e+00 -8.635575847440394304e-01 7.403490179179932351e-01
4.609218436873747216e+00 -8.530856468240033408e-01 7.149480768366891503e-01
4.649298597194388982e+00 -8.367906850407045294e-01 6.698849763033554172e-01
4.689378757515029861e+00 -8.148772204749239467e-01 6.082517689792960036e-01
4.729458917835670739e+00 -7.875988275759269186e-01 5.344463514048355401e-01
4.769539078156312506e+00 -7.552569021432047336e-01 4.536640424950895700e-01
4.809619238476953385e+00 -7.181998478432107813e-01 3.712904457999075536e-01
4.849699398797595151e+00 -6.768224420800352803e-01 2.922929467013215543e-01
4.889779559118236030e+00 -6.315648028612891318e-01 2.207072505181559008e-01
4.929859719438877796e+00 -5.829117861259565103e-01 1.592988160453135682e-01
4.969939879759518675e+00 -5.313911779280973136e-01 1.094365120628477406e-01
5.010020040080160442e+00 -4.775717403032292419e-01 7.117978952861832298e-02
