# time correlation fidelity
0.000000000000000000e+00 -1.058823529411764719e+00 1.000000000000000000e+00
4.008016032064128098e-02 -1.058789439037937097e+00 9.998551252400138534e-01
8.016032064128256196e-02 -1.058687170099167574e+00 9.994206221742000240e-01
1.202404809619238429e-01 -1.058516729257504174e+00 9.986968546551140413e-01
1.603206412825651239e-01 -1.058278127646308686e+00 9.976844284364542181e-01
2.004008016032063910e-01 -1.057971380826531860e+00 9.963841905785411068e-01
2.404809619238476859e-01 -1.057596508582664852e+00 9.947972278677329472e-01
2.805611222444889807e-01 -1.057153535639373088e+00 9.929248659632293750e-01
3.206412825651302478e-01 -1.056642491048680910e+00 9.907686689702854821e-01
3.607214428857715149e-01 -1.056063407675392973e+00 9.883304332963733785e-01
4.008016032064127820e-01 -1.055416323114502841e+00 9.856121847172940598e-01
4.408817635270541047e-01 -1.054701278980999968e+00 9.826161827544346306e-01
4.809619238476953718e-01 -1.053918321154797999e+00 9.793449092527002353e-01
5.210420841683366389e-01 -1.053067500879943719e+00 9.758010700771341250e-01
5.611222444889779615e-01 -1.052148872801318857e+00 9.719875961451357460e-01
6.012024048096191731e-01 -1.051162495098534766e+00 9.679076243866041596e-01
6.412825651302604957e-01 -1.050108430799855830e+00 9.635645018271624673e-01
6.813627254509018183e-01 -1.048986747807161724e+00 9.589617867974001841e-01
7.214428857715430299e-01 -1.047797519353893092e+00 9.541032433949667713e-01
7.615230460921843525e-01 -1.046540824574506257e+00 9.489928387747412764e-01
8.016032064128255641e-01 -1.045216748163357856e+00 9.436347365943097421e-01
8.416833667334668867e-01 -1.043825370922772944e+00 9.380332541610755248e-01
8.817635270541082093e-01 -1.042366781606578030e+00 9.321929037680433128e-01
9.218436873747494209e-01 -1.040841076719255742e+00 9.261183859520253359e-01
9.619238476953907435e-01 -1.039248359465756444e+00 9.198145792160813405e-01
1.002004008016031955e+00 -1.037588740497222828e+00 9.132865366829687748e-01
1.042084168336673278e+00 -1.035862334107087612e+00 9.065394642914168521e-01
1.082164328657314600e+00 -1.034069239750931679e+00 8.995786396017251274e-01
1.122244488977955923e+00 -1.032209573517821166e+00 8.924095309127211273e-01
1.162324649298597246e+00 -1.030283460629474845e+00 8.850377599373151494e-01
1.202404809619238346e+00 -1.028291034113169244e+00 8.774690890080850680e-01
1.242484969939879669e+00 -1.026232435716339486e+00 8.697094171283560327e-01
1.282565130260520991e+00 -1.024107806112317887e+00 8.617647367745814302e-01
1.322645290581162314e+00 -1.021917267692645570e+00 8.536410635837425875e-01
1.362725450901803637e+00 -1.019660966181393791e+00 8.453445807468439321e-01
1.402805611222444737e+00 -1.017339056040678980e+00 8.368815777370535169e-01
1.442885771543086060e+00 -1.014951700230471765e+00 8.282584414904780035e-01
1.482965931863727382e+00 -1.012499071177747068e+00 8.194816519361054485e-01
1.523046092184368705e+00 -1.009981332527329467e+00 8.105577105290125983e-01
1.563126252505010028e+00 -1.007398634443944507e+00 8.014931159673521766e-01
1.603206412825651128e+00 -1.004751153168414790e+00 7.922944938068054999e-01
1.643286573146292451e+00 -1.002039073487142051e+00 7.829685271340577346e-01
1.683366733466933773e+00 -9.992625895567498473e-01 7.735219512006707987e-01
1.723446893787575096e+00 -9.964219058570183973e-01 7.639615485210191625e-01
1.763527054108216419e+00 -9.935172064735536823e-01 7.542940431310153349e-01
1.803607214428857741e+00 -9.905486732588513199e-01 7.445261507575978710e-01
1.843687374749498842e+00 -9.875165131116571127e-01 7.346646575961939263e-01
1.883767535070140164e+00 -9.844209420288276835e-01 7.247163614186787894e-01
1.923847695390781487e+00 -9.812621862091621683e-01 7.146880671049989919e-01
1.963927855711422810e+00 -9.780404816962174896e-01 7.045865780024306302e-01
