# time correlation fidelity
1.563126252505010028e+00 -6.120343535905201776e-02 2.016511778328670956e-03
1.603206412825651128e+00 -2.621882572431539354e-02 1.388304750997740701e-03
1.643286573146292451e+00 7.957316970073595105e-03 9.401122124309083681e-04
1.683366733466933773e+00 4.121593516594597439e-02 6.255618830154525967e-04
1.723446893787575096e+00 7.344943816754308241e-02 4.085917760510271836e-04
1.763527054108216419e+00 1.045520879988091484e-01 2.616427795129678733e-04
1.803607214428857741e+00 1.344203469532490869e-01 1.640300937909739700e-04
1.843687374749498842e+00 1.629537938910332051e-01 1.005181565276616162e-04
1.883767535070140164e+00 1.900554994811457232e-01 6.010041955946336098e-05
1.923847695390781487e+00 2.156323414161994967e-01 3.498629437958128565e-05
1.963927855711422810e+00 2.395954037848010698e-01 1.977972037722119104e-05
2.004008016032063910e+00 2.618606557573400218e-01 1.082831694088183603e-05
2.044088176352705233e+00 2.823495022014744227e-01 5.719843832425038203e-06
2.084168336673346555e+00 3.009889730466728808e-01 2.902842404863926653e-06
2.124248496993987878e+00 3.177121049603887082e-01 1.407939599783274522e-06
2.164328657314629201e+00 3.324583863160365804e-01 6.483523473887178679e-07
2.204408817635270523e+00 3.451743060345456859e-01 2.811021600664505250e-07
2.244488977955911846e+00 3.558134345467718340e-01 1.135067822712504315e-07
2.284569138276553169e+00 3.643366989382091914e-01 4.208152131785412491e-08
2.324649298597194491e+00 3.707126309287497867e-01 1.406260850173112445e-08
2.364729458917835370e+00 3.749177391030211193e-01 4.140848039600892159e-09
2.404809619238476692e+00 3.769364973516193817e-01 1.055490383231225428e-09
2.444889779559118015e+00 3.767614510032355479e-01 2.430999019255175825e-10
2.484969939879759337e+00 3.743932992713845387e-01 6.632245367261037103e-11
2.525050100200400660e+00 3.698409883441765578e-01 2.920114204857562577e-11
2.565130260521041983e+00 3.631215943908019383e-01 1.573825888292395667e-11
2.605210420841683305e+00 3.542602453217982839e-01 8.020816751625740987e-12
2.645290581162324628e+00 3.432900502959252420e-01 3.833991822477623538e-12
2.685370741482965951e+00 3.302519188823936358e-01 1.660410222943791888e-12
2.725450901803607273e+00 3.151942848627632965e-01 6.862850174810252204e-13
2.765531062124248596e+00 2.981728836092705781e-01 1.074810890894379314e-12
2.805611222444889474e+00 2.792505226605818680e-01 2.895890464712658012e-12
2.845691382765530797e+00 2.584967344412345547e-01 5.280559898203280720e-12
2.885771543086172120e+00 2.359872629763289931e-01 6.710962552592635435e-12
2.925851703406813442e+00 2.118037711269054602e-01 6.056828725789673367e-12
2.965931863727454765e+00 1.860334717916730940e-01 3.504428224869059518e-12
3.006012024048096087e+00 1.587687226366748805e-01 7.400126168483554848e-13
3.046092184368737410e+00 1.301062715962277294e-01 2.618502233742177223e-13
3.086172344689378733e+00 1.001469427829580622e-01 4.210593058920124156e-12
3.126252505010020055e+00 6.899518732180756619e-02 1.328754479370905202e-11
3.166332665330661378e+00 3.675869420285676759e-02 2.625154024574843906e-11
3.206412825651302256e+00 3.547482025145505709e-03 4.023242177455549963e-11
3.246492985971943579e+00 -3.052643278167242735e-02 5.170581096348194087e-11
3.286573146292584902e+00 -6.534947600327371819e-02 5.777474532050724251e-11
3.326653306613226224e+00 -1.008068593944605462e-01 5.731074948371064566e-11
3.366733466933867547e+00 -1.367834809734799761e-01 5.157878303764321231e-11
3.406813627254508869e+00 -1.731643171382908075e-01 4.412784945647844434e-11
3.446893787575150192e+00 -2.098347503307050055e-01 4.001340337802860252e-11
3.486973947895791515e+00 -2.466808820653306200e-01 4.457594580095953123e-11
3.527054108216432837e+00 -2.835902244271631401e-01 6.212381488855814335e-11
3.567134268537074160e+00 -3.204522281498682346e-01 9.487433899594164032e-11
3.607214428857715482e+00 -3.571584138543775766e-01 1.423935069458741611e-10
3.647294589178356361e+00 -3.936026416688720997e-01 2.016509875914578200e-10
3.687374749498997684e+00 -4.296815174601018583e-01 2.676565930545692867e-10
3.727454909819639006e+00 -4.652950228579553205e-01 3.345009237573987559e-10
3.767535070140280329e+00 -5.003464590956488989e-01 3.964871088291546307e-10
3.807615230460921651e+00 -5.347426321412482864e-01 4.491487371697733237e-10
3.847695390781562974e+00 -5.683940054918436013e-01 4.899362740905763526e-10
3.887775551102204297e+00 -6.012153208403278049e-01 5.184714643423729887e-10
3.927855711422845619e+00 -6.331254315204341010e-01 5.363148905687020251e-10
3.967935871743486942e+00 -6.640473688137107366e-01 5.463972145815895019e-10
4.008016032064127820e+00 -6.939083143259827668e-01 5.522487178667108327e-10
4.048096192384769587e+00 -7.226400995172379549e-01 5.572279914292190905e-10
4.088176352705410466e+00 -7.501790254766494970e-01 5.638637087465214555e-10
4.128256513026052232e+00 -7.764657942960789816e-01 5.734521906951740174e-10
4.168336673346693111e+00 -8.014453930105372992e-01 5.859466420549891482e-10
4.208416833667334878e+00 -8.250673848740769367e-01 6.001402008114953236e-10
4.248496993987975756e+00 -8.472858058629982869e-01 6.140245924630853603e-10
