# time correlation fidelity
5.130260521042083965e+00 -6.825954924699981774e-01 2.562431231072031523e-01
5.170340681362724844e+00 -6.363119343252805482e-01 1.946127410769140087e-01
5.210420841683366611e+00 -5.833934593587489781e-01 1.390551759811310406e-01
5.250501002004007489e+00 -5.275649363700546379e-01 9.458113858401862029e-02
5.290581162324649256e+00 -4.726993421977789267e-01 6.237096855808781093e-02
5.330661322645290134e+00 -4.207137728568921542e-01 4.030505368448744630e-02
5.370741482965931901e+00 -3.708422368560312377e-01 2.527174281594679259e-02
5.410821643286572780e+00 -3.206518443951841824e-01 1.496917496435372016e-02
5.450901803607214546e+00 -2.680374988927553548e-01 8.143532161546838608e-03
5.490981963927855425e+00 -2.128573577680842877e-01 3.995238568874308685e-03
5.531062124248497192e+00 -1.572050957364801993e-01 1.762747806696485491e-03
5.571142284569138070e+00 -1.042739345680433194e-01 7.136656356893528739e-04
5.611222444889778949e+00 -5.665965129710602566e-02 2.803943118575990970e-04
5.651302605210420715e+00 -1.520538162874392717e-02 1.189978176130804152e-04
5.691382765531061594e+00 2.096838930580427127e-02 6.316849434415618852e-05
5.731462925851703361e+00 5.340871978444960977e-02 4.549089636439036620e-05
5.771543086172344239e+00 8.302816567711969464e-02 4.188795053442791573e-05
5.811623246492986006e+00 1.093952669555796342e-01 4.415533160389275506e-05
5.851703406813626884e+00 1.309739393716859435e-01 4.828387056472676427e-05
5.891783567134268651e+00 1.460232333101542102e-01 5.147377443152772878e-05
5.931863727454909530e+00 1.535102389882837259e-01 5.287608413127798041e-05
5.971943887775551296e+00 1.534940310194344848e-01 5.348637434067404143e-05
6.012024048096192175e+00 1.468511119827415334e-01 5.434629893145569070e-05
6.052104208416833053e+00 1.346271300536148741e-01 5.546018074099553531e-05
6.092184368737474820e+00 1.174694336826666574e-01 5.614393815489813501e-05
6.132264529058115698e+00 9.545639144394937881e-02 5.544997278168194583e-05
6.172344689378757465e+00 6.833140009773751300e-02 5.253894418718722700e-05
6.212424849699398344e+00 3.590491576348109337e-02 4.744093725782216832e-05
6.252505010020040110e+00 -1.649255722812440622e-03 4.148169501469631905e-05
6.292585170340680989e+00 -4.373964609323091612e-02 3.651448535949250213e-05
6.332665330661322756e+00 -8.950528472887218923e-02 3.368059671308645001e-05
6.372745490981963634e+00 -1.380289306556023443e-01 3.329692002541817568e-05
6.412825651302604513e+00 -1.884903369224920633e-01 3.548831718211090141e-05
6.452905811623246279e+00 -2.402139847855621346e-01 3.996565361104152539e-05
6.492985971943887158e+00 -2.926397760322623776e-01 4.543634244128718985e-05
6.533066132264528925e+00 -3.452677404598253896e-01 5.007340730809317755e-05
6.573146292585169803e+00 -3.976068978779720431e-01 5.284393287358345068e-05
6.613226452905811570e+00 -4.491334410216199502e-01 5.424880972511309093e-05
6.653306613226452448e+00 -4.992607732757307626e-01 5.532536326564718037e-05
6.693386773547094215e+00 -5.473366059873294720e-01 5.580183955705512593e-05
6.733466933867735094e+00 -5.926845064142899355e-01 5.397071406815744099e-05
6.773547094188376860e+00 -6.346847184266982689e-01 4.860785989305117707e-05
6.813627254509017739e+00 -6.728573188346124168e-01 4.036616355621029564e-05
6.853707414829658617e+00 -7.068991988352366640e-01 3.121594134934681887e-05
6.893787575150300384e+00 -7.366492570531073536e-01 2.305315151255417900e-05
6.933867735470941263e+00 -7.620001831602800646e-01 1.684017991239749489e-05
6.973947895791583029e+00 -7.828103837273545640e-01 1.250744195218267411e-05
7.014028056112223908e+00 -7.988713047714445237e-01 9.396492281847946900e-06
7.054108216432865675e+00 -8.099495501114428730e-01 6.917407372774069632e-06
7.094188376753506553e+00 -8.158729493816887501e-01 4.873323404721025128e-06
7.134268537074148320e+00 -8.166017555660232130e-01 3.305679292549600945e-06
7.174348697394789198e+00 -8.122404787722005137e-01 2.239491760410236350e-06
7.214428857715430965e+00 -8.029888851608391054e-01 1.607576870215500456e-06
7.254509018036071843e+00 -7.890700489938609064e-01 1.312403913370991781e-06
7.294589178356712722e+00 -7.706829861342897603e-01 1.292934280896984795e-06
7.334669338677354489e+00 -7.480042837768818842e-01 1.530816359919682930e-06
7.374749498997995367e+00 -7.212261486370965535e-01 1.991960674289796243e-06
7.414829659318637134e+00 -6.905943570882999705e-01 2.556888285845597432e-06
7.454909819639278012e+00 -6.564168720983052374e-01 3.028812184390839910e-06
7.494989979959919779e+00 -6.190443492755055566e-01 3.237290047541058294e-06
7.535070140280560658e+00 -5.788498678398446007e-01 3.148166764030169533e-06
7.575150300601202424e+00 -5.362338260219783326e-01 2.889334030482165041e-06
7.615230460921843303e+00 -4.916516026678197093e-01 2.689133617262472307e-06
7.655310621242485070e+00 -4.456314266350840381e-01 2.778841042165845651e-06
7.695390781563125948e+00 -3.987471693421980601e-01 3.305290695316875614e-06
7.735470941883766827e+00 -3.515447455738935911e-01 4.269916259644090825e-06
7.775551102204408593e+00 -3.044692483777085013e-01 5.490250435767530926e-06
7.815631262525049472e+00 -2.578605333391165155e-01 6.614950810605911735e-06
7.855711422845691239e+00 -2.120483277497832997e-01 7.240600376728047965e-06
7.895791583166332117e+00 -1.675000682352665027e-01 7.109164125292282948e-06
7.935871743486973884e+00 -1.249113984914745068e-01 6.269753746889274712e-06
7.975951903807614762e+00 -8.513926776752769876e-02 5.028009826885161964e-06
8.016032064128255641e+00 -4.897510998511016289e-02 3.696218104487884517e-06
8.056112224448897408e+00 -1.688554256824852454e-02 2.580217160889629679e-06
8.096192384769539174e+00 1.108814666190766247e-02 2.349536196430896380e-06
8.136272545090179165e+00 3.515537243384481841e-02 4.127572798059169367e-06
8.176352705410820931e+00 5.539752747037129943e-02 9.111265924012888417e-06
8.216432865731462698e+00 7.143080055394634975e-02 1.886034912676099831e-05
8.256513026052104465e+00 8.237974593549320101e-02 3.745448081795916872e-05
8.296593186372744455e+00 8.725491215150066315e-02 7.584785868546880660e-05
8.336673346693386222e+00 8.554199767652476138e-02 1.567867847423773755e-04
8.376753507014027988e+00 7.760780181398771460e-02 3.126487417869196553e-04
8.416833667334669755e+00 6.458641437015766318e-02 5.682048586988043331e-04
8.456913827655309746e+00 4.773687688587596734e-02 9.212116112955690819e-04
8.496993987975951512e+00 2.765461003092724995e-02 1.355427065593063076e-03
8.537074148296593279e+00 3.884597560104188340e-03 1.902481106517326347e-03
8.577154308617233269e+00 -2.472603450900956804e-02 2.722990279953195827e-03
8.617234468937875036e+00 -5.908173846524256145e-02 4.149954417454634198e-03
8.657314629258516803e+00 -9.889473110583221760e-02 6.623566605365721095e-03
8.697394789579158569e+00 -1.424250649194773455e-01 1.047219219747036641e-02
8.737474949899798560e+00 -1.871836988333729912e-01 1.566056258668504370e-02
8.777555110220440326e+00 -2.312177133758812064e-01 2.182382038531997109e-02
8.817635270541082093e+00 -2.741405791274189041e-01 2.878071256795068991e-02
8.857715430861723860e+00 -3.171691180548150135e-01 3.723242755721265645e-02
8.897795591182363850e+00 -3.620534927884586640e-01 4.903638854704112787e-02
8.937875751503005617e+00 -4.095435974450514771e-01 6.660978327951494471e-02
8.977955911823647384e+00 -4.584161808824521178e-01 9.145906755413286959e-02
9.018036072144287374e+00 -5.057872519455464122e-01 1.225991830320830450e-01
9.058116232464929141e+00 -5.485960816869206447e-01 1.564484726737218612e-01
9.098196392785570907e+00 -5.853250388871527043e-01 1.892217982423458900e-01
9.138276553106212674e+00 -6.168011178588795884e-01 2.203785582674732679e-01
9.178356713426852664e+00 -6.454920895422353588e-01 2.539294199325694001e-01
9.218436873747494431e+00 -6.737002457705216774e-01 2.958953757821521924e-01
9.258517034068136198e+00 -7.018176975996781586e-01 3.492766253561749856e-01
9.298597194388777964e+00 -7.278179295997767584e-01 4.098682659393023675e-01
9.338677354709417955e+00 -7.483710262603161523e-01 4.666051264673423682e-01
9.378757515030059722e+00 -7.608863003431425298e-01 5.077106989711164253e-01
9.418837675350701488e+00 -7.651439280560224931e-01 5.285965773693330760e-01
9.458917835671341479e+00 -7.634265500162283891e-01 5.345015060236268933e-01
9.498997995991983245e+00 -7.590426624938773070e-01 5.353025877645398722e-01
9.539078156312625012e+00 -7.541959978635458528e-01 5.371449680581961150e-01
9.579158316633266779e+00 -7.485940560110364572e-01 5.375478309408501243e-01
9.619238476953906769e+00 -7.397080203488692884e-01 5.273455490143614810e-01
9.659318637274548536e+00 -7.245071069610996561e-01 4.979994855837692191e-01
9.699398797595190302e+00 -7.015222325675127824e-01 4.486278044343496862e-01
9.739478957915832069e+00 -6.718931014539780699e-01 3.869023447597601528e-01
9.779559118236472059e+00 -6.387366652040845638e-01 3.235423062634937286e-01
9.819639278557113826e+00 -6.052791485369333202e-01 2.659090719185984719e-01
9.859719438877755593e+00 -5.729879063723528620e-01 2.157242879029885319e-01
9.899799599198395583e+00 -5.409064661517506423e-01 1.711972288382171137e-01
9.939879759519037350e+00 -5.065761141416104119e-01 1.306000820911969451e-01
9.979959919839679117e+00 -4.678875393054782728e-01 9.426123671464288478e-02
1.002004008016032088e+01 -4.246382242572826482e-01 6.394524146472631287e-02
1.006012024048096087e+01 -3.788184994289819918e-01 4.097328932153571079e-02
1.010020040080160264e+01 -3.335076771536957252e-01 2.512371602797018599e-02
1.014028056112224441e+01 -2.911546385583153040e-01 1.495710561511145141e-02
1.018036072144288617e+01 -2.523693761395389701e-01 8.740327453612936268e-03
1.022044088176352616e+01 -2.159547237399516428e-01 5.063073887554911910e-03
1.026052104208416793e+01 -1.800654636229980787e-01 2.952721874740957351e-03
1.030060120240480970e+01 -1.436772123810267365e-01 1.759410522429579078e-03
1.034068136272544969e+01 -1.074203218839646090e-01 1.059874434653985476e-03
1.038076152304609145e+01 -7.330955120247234502e-02 6.137208995216161551e-04
1.042084168336673322e+01 -4.362731047919300720e-02 3.136381948033090442e-04
1.046092184368737499e+01 -1.972648920117813301e-02 1.248032965554650171e-04
1.050100200400801498e+01 -1.501828438154248751e-03 4.594435256366319299e-05
1.054108216432865675e+01 1.221368904469439902e-02 9.381122090705138643e-05
1.058116232464929851e+01 2.267508646693048441e-02 2.876239144648972865e-04
1.062124248496994028e+01 3.033733994637462239e-02 6.285330224302311964e-04
1.066132264529058027e+01 3.458506946016284833e-02 1.094550803619569234e-03
1.070140280561122204e+01 3.417385692131096747e-02 1.661438503596593787e-03
1.074148296593186380e+01 2.803417870882127585e-02 2.330085817860498044e-03
1.078156312625250379e+01 1.590860665853573858e-02 3.133722912298022526e-03
1.082164328657314556e+01 -1.542081662707089559e-03 4.115206387648832030e-03
1.086172344689378733e+01 -2.315739170711505340e-02 5.282545212065004915e-03
1.090180360721442909e+01 -4.789894580015952724e-02 6.567078696264301053e-03
1.094188376753506908e+01 -7.528097950256004700e-02 7.822766305741133894e-03
1.098196392785571085e+01 -1.053862332444589073e-01 8.887789476268141350e-03
1.102204408817635262e+01 -1.385201229990189187e-01 9.667294956112539722e-03
1.106212424849699438e+01 -1.747605552033175413e-01 1.015821784479819731e-02
1.110220440881763437e+01 -2.136855092890179997e-01 1.039309646852753198e-02
1.114228456913827614e+01 -2.544155759527281790e-01 1.036774046946816255e-02
1.118236472945891791e+01 -2.959035067823282961e-01 1.003011358867098371e-02
1.122244488977955790e+01 -3.372698573632552099e-01 9.339342778858610028e-03
1.126252505010019966e+01 -3.779903905241840389e-01 8.335578194675920954e-03
1.130260521042084143e+01 -4.178555096450603523e-01 7.153865566898915535e-03
1.134268537074148320e+01 -4.567640327230010899e-01 5.965002973350894307e-03
1.138276553106212319e+01 -4.944975930847334000e-01 4.892661222615240016e-03
1.142284569138276495e+01 -5.306098319585754730e-01 3.974070155733967075e-03
1.146292585170340672e+01 -5.644797417282702012e-01 3.183277145401327245e-03
1.150300601202404849e+01 -5.954756236758423915e-01 2.482907718100164744e-03
1.154308617234468848e+01 -6.231208472422119504e-01 1.860339512468106929e-03
1.158316633266533024e+01 -6.471688468536496153e-01 1.329867258104650051e-03
1.162324649298597201e+01 -6.675606287176121256e-01 9.118536227488976010e-04
1.166332665330661200e+01 -6.843085986117481978e-01 6.113698544737287055e-04
1.170340681362725377e+01 -6.973848154971082902e-01 4.126520578011190401e-04
