# time correlation overlap_with_initial
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00
4.008016032064128098e-02 -9.967808519994766359e-01 9.855932649134562240e-01
8.016032064128256196e-02 -9.871441484083619544e-01 9.435618766295473803e-01
1.202404809619238429e-01 -9.711524694664022128e-01 8.773163069890744792e-01
1.603206412825651239e-01 -9.489115542758213007e-01 7.920486551384081642e-01
2.004008016032063910e-01 -9.205713950062909268e-01 6.940806724964220242e-01
2.404809619238476859e-01 -8.863285850285278489e-01 5.901157907855686391e-01
2.805611222444889807e-01 -8.464281650886062991e-01 4.865084804442668109e-01
3.206412825651302478e-01 -8.011664356234300399e-01 3.886624771648991561e-01
3.607214428857715149e-01 -7.508929101650614335e-01 3.006263577181905733e-01
4.008016032064127820e-01 -6.960125186411119103e-01 2.249213019300866923e-01
4.408817635270541047e-01 -6.369869253603822612e-01 1.625864912913843330e-01
4.809619238476953718e-01 -5.743350147680520434e-01 1.133974807225569675e-01
5.210420841683366389e-01 -5.086327211894914324e-01 7.619062399095913318e-02
5.611222444889779615e-01 -4.405107746886508524e-01 4.922374534843528687e-02
6.012024048096191731e-01 -3.706522536938347545e-01 3.051245954371761479e-02
6.412825651302604957e-01 -2.997868443408878703e-01 1.810062776021999567e-02
6.813627254509018183e-01 -2.286855667705204320e-01 1.024467398856336933e-02
7.214428857715430299e-01 -1.581512566351614135e-01 5.511960805394389845e-03
7.615230460921843525e-01 -8.901031329381897672e-02 2.806726592522193909e-03
8.016032064128255641e-01 -2.209970066398647681e-02 1.345363455898111607e-03
8.416833667334668867e-01 4.174392889865945200e-02 6.029970614914769225e-04
8.817635270541082093e-01 1.016997811919071321e-01 2.505873314156367195e-04
9.218436873747494209e-01 1.569755348692712660e-01 9.550508095116009666e-05
9.619238476953907435e-01 2.068239336792858651e-01 3.290243267700012210e-05
1.002004008016031955e+00 2.505557977034867934e-01 1.004392942814235417e-05
1.042084168336673278e+00 2.875557818438017055e-01 2.639814339526892757e-06
1.082164328657314600e+00 3.172941622066935419e-01 5.715369087382691539e-07
1.122244488977955923e+00 3.393397981695889243e-01 9.456927121367062050e-08
1.162324649298597246e+00 3.533690454057990538e-01 1.030569353001864053e-08
1.202404809619238346e+00 3.591742236423164925e-01 4.905065357897552048e-10
1.242484969939879669e+00 3.566682595854379634e-01 1.717164236543521625e-13
1.282565130260520991e+00 3.458875583371093243e-01 3.634092567081719670e-12
1.322645290581162314e+00 3.269914769323218895e-01 5.061526681518611197e-14
1.362725450901803637e+00 3.002593269375422036e-01 2.564178060683984748e-15
1.402805611222444737e+00 2.660844547443357855e-01 1.216352856765492854e-12
1.442885771543086060e+00 2.249659724348635759e-01 3.584754557512233239e-12
1.482965931863727382e+00 1.774979868642226066e-01 1.687830763554044715e-12
1.523046092184368705e+00 1.243573791733569578e-01 5.680993671348013257e-13
1.563126252505010028e+00 6.628942079423882916e-02 1.110466360916525461e-11
1.603206412825651128e+00 4.093392801533795450e-03 2.859057643905913074e-11
1.643286573146292451e+00 -6.139371042999428041e-02 3.393729309911864477e-11
1.683366733466933773e+00 -1.293117783321776348e-01 1.901387503879079164e-11
1.723446893787575096e+00 -1.987939418545206782e-01 1.541749253732384670e-12
1.763527054108216419e+00 -2.689796212881101489e-01 9.280840548265983643e-12
1.803607214428857741e+00 -3.390292609001488988e-01 5.086937900499427552e-11
1.843687374749498842e+00 -4.081345128911252340e-01 1.045068590555832663e-10
1.883767535070140164e+00 -4.755300868217726129e-01 1.352995665057592507e-10
1.923847695390781487e+00 -5.405003708293470988e-01 1.236480461708511607e-10
1.963927855711422810e+00 -6.023877063121169106e-01 7.922979566528903516e-11
2.004008016032063910e+00 -6.605953971604421326e-01 3.081514998830063047e-11
2.044088176352705233e+00 -7.145923221411811799e-01 3.538529710512023368e-12
2.084168336673346555e+00 -7.639128446967686781e-01 3.132042194020774731e-12
2.124248496993987878e+00 -8.081581987740902306e-01 1.722686228984842238e-11
2.164328657314629201e+00 -8.469941967345713252e-01 2.878263853700168325e-11
2.204408817635270523e+00 -8.801501939354251514e-01 2.883344668529034552e-11
2.244488977955911846e+00 -9.074156562755850697e-01 1.963103653187435631e-11
2.284569138276553169e+00 -9.286376924865666904e-01 8.880306747333417188e-12
2.324649298597194491e+00 -9.437174793385688654e-01 2.213307142097495240e-12
2.364729458917835370e+00 -9.526073646211125068e-01 1.303890311967952411e-13
2.404809619238476692e+00 -9.553078927270060028e-01 1.146737500282252654e-13
2.444889779559118015e+00 -9.518653353395348793e-01 1.569990898727713896e-13
2.484969939879759337e+00 -9.423697173281048167e-01 2.057244430130469969e-14
2.525050100200400660e+00 -9.269533263746225771e-01 1.541724920925016597e-14
2.565130260521041983e+00 -9.057897943486116210e-01 1.457316206382830091e-14
2.605210420841683305e+00 -8.790937570311171401e-01 1.133264777656889476e-12
2.645290581162324628e+00 -8.471207151966020366e-01 9.408970364276245411e-12
2.685370741482965951e+00 -8.101676449258803370e-01 3.794616800309164582e-11
2.725450901803607273e+00 -7.685730903367568034e-01 1.040402541173295871e-10
2.765531062124248596e+00 -7.227182156776787991e-01 2.209875990231831529e-10
2.805611222444889474e+00 -6.730264089501489799e-01 3.882992137696819156e-10
2.845691382765530797e+00 -6.199640598094484645e-01 5.857778526068239816e-10
2.885771543086172120e+00 -5.640389095578637324e-01 7.752299024751765682e-10
2.925851703406813442e+00 -5.057997626879499053e-01 9.092821301761280150e-10
2.965931863727454765e+00 -4.458329188225517714e-01 9.433158405002650650e-10
3.006012024048096087e+00 -3.847601158568840773e-01 8.462762654269845381e-10
3.046092184368737410e+00 -3.232334141161701813e-01 6.112933961924751434e-10
3.086172344689378733e+00 -2.619280027552977619e-01 2.787956635965314253e-10
3.126252505010020055e+00 -2.015371301628051670e-01 1.317730993286469804e-11
3.166332665330661378e+00 -1.427644021335058022e-01 3.307347334410484795e-10
3.206412825651302256e+00 -8.631243919949266319e-02 2.721493448969152778e-09
3.246492985971943579e+00 -3.287413363519998966e-02 1.123226592431568348e-08
3.286573146292584902e+00 1.687830642778839763e-02 3.628232118882763879e-08
3.326653306613226224e+00 6.230401237277249232e-02 1.034140638783697044e-07
3.366733466933867547e+00 1.028061372482067665e-01 2.724564536139870157e-07
3.406813627254508869e+00 1.378425768893778436e-01 6.776397124201936023e-07
3.446893787575150192e+00 1.669363122353893225e-01 1.608014554901745095e-06
3.486973947895791515e+00 1.896850021732050251e-01 3.662125593817129758e-06
3.527054108216432837e+00 2.057706082504138223e-01 8.034134654577045859e-06
3.567134268537074160e+00 2.149663256757332608e-01 1.702316086373250725e-05
3.607214428857715482e+00 2.171418773290321180e-01 3.490655370661658246e-05
3.647294589178356361e+00 2.122674370472558691e-01 6.938350142780430358e-05
3.687374749498997684e+00 2.004148139312874055e-01 1.338741238569859189e-04
3.727454909819639006e+00 1.817570229097111023e-01 2.510482077579318698e-04
