# Eigenenergy Overlap Log2(Overlap)
-1.943519346535967696e+00 1.948757186614806514e-02 -5.681301846479926532e+00
-1.943519346535964809e+00 1.581169736297888869e-03 -9.304792037414179262e+00
-1.555521774759919928e+00 8.617560139507775795e-04 -1.018043291776231385e+01
-1.555521774759913489e+00 1.348874195065807597e-03 -9.534028485388711616e+00
-1.488517766153193644e+00 3.994244390413800860e-02 -4.645933582067609535e+00
-1.488517766153193200e+00 1.300042383158275024e-03 -9.587225626811797241e+00
-1.414213562373096700e+00 1.198862457203427870e-29 -9.607424860064854499e+01
-1.343513957235592748e+00 1.340704873053021398e-02 -6.220864495442325115e+00
-1.324068608720076590e+00 8.245099720436731630e-04 -1.024417543709234124e+01
-1.324068608720074147e+00 7.045242184482844645e-05 -1.379299117353044224e+01
-1.223917795008592879e+00 4.874268237953784805e-02 -4.358670542956941674e+00
-1.223917795008591547e+00 3.360778750433049411e-02 -4.895060620696076725e+00
-1.184733975751853130e+00 1.360380299868010918e-05 -1.616563045528702958e+01
-1.166845912729815860e+00 3.628601279128185731e-10 -3.135986741071920036e+01
-1.166845912729811197e+00 8.290304841247059823e-10 -3.016785579710802523e+01
-1.083653026305570810e+00 9.374918156493074889e-03 -6.736978188911482590e+00
-1.083653026305568146e+00 6.915579622272033584e-05 -1.381979029997599717e+01
-9.969950132326053094e-01 3.045248356065680161e-04 -1.168115248722959088e+01
-8.158431910319619007e-01 3.168964020030624884e-02 -4.979844910117079415e+00
-8.158431910319604574e-01 3.899887301477251251e-04 -1.132427994581792596e+01
-6.508551647072406965e-01 6.271052723631457668e-06 -1.728286092028759313e+01
-6.508551647072379209e-01 3.490708217065024117e-06 -1.812804880005489139e+01
-6.218421864808112431e-01 3.599905902791438427e-04 -1.143975318281404263e+01
-6.218421864808084676e-01 1.708395820266771312e-03 -9.193142011239130440e+00
-3.997404528787409927e-01 1.524209464008597498e-03 -9.357723106292052506e+00
-3.997404528787392164e-01 1.199178166635476864e-03 -9.703738263086117755e+00
-3.444299960699468977e-01 3.034476438469135384e-04 -1.168626476085521482e+01
-3.444299960699460095e-01 4.282098739352718786e-02 -4.545538127089103320e+00
-2.201141895954903269e-15 6.692467157374675261e-04 -1.054517422555025341e+01
-1.425322051045099968e-15 5.441529807560015891e-03 -7.521771983276225981e+00
-1.493606540577449494e-16 8.043134105529295115e-05 -1.360188269971792963e+01
-1.264679062086303043e-16 2.683143264247466256e-02 -5.219932101593984797e+00
-1.126290337924650673e-16 2.727234556440959537e-03 -8.518345499751058369e+00
-8.985410553768470490e-17 4.651605319840761144e-03 -7.748055592679887305e+00
-2.988866951360598839e-17 6.685350023235904797e-04 -1.054670928242200567e+01
5.066029677563997586e-17 2.415619943965860092e-02 -5.371462700379367128e+00
1.119982829958919764e-16 2.008370893181911018e-02 -5.637830468123947725e+00
2.084193777932682674e-16 7.558141920629661038e-03 -7.047752676058085974e+00
2.955540077256701872e-16 1.127986493138979571e-02 -6.470106397213620575e+00
1.206049037335540369e-15 1.215277901021870680e-02 -6.362569933077718787e+00
2.235637121980591401e-15 2.475303903017797128e-06 -1.862396290778400498e+01
3.444299960699467866e-01 7.907838694037917307e-06 -1.694828512639122664e+01
3.444299960699476748e-01 4.311652719867952593e-02 -4.535615208229053508e+00
3.997404528787394939e-01 2.666763233486204275e-03 -8.550694542652285790e+00
3.997404528787398270e-01 5.662439715814684288e-05 -1.410821668859946953e+01
6.218421864808100219e-01 1.013119329102038334e-04 -1.326890826921614597e+01
6.218421864808127975e-01 1.967074477636099154e-03 -8.989732702499575012e+00
6.508551647072354784e-01 8.730494871327311551e-06 -1.680550513675525437e+01
6.508551647072414736e-01 1.031266069363265144e-06 -1.988715196947110897e+01
8.158431910319615676e-01 2.301740762387245037e-02 -5.441130833228470465e+00
8.158431910319625668e-01 9.062221306581557528e-03 -6.785919561631444274e+00
9.969950132326106385e-01 3.045248356066087279e-04 -1.168115248722939903e+01
1.083653026305569700e+00 1.393609061202808256e-04 -1.280888647011121506e+01
1.083653026305571032e+00 9.304713046595152262e-03 -6.747822625794925422e+00
1.166845912729815860e+00 1.087144587664528378e-11 -3.642066521559944903e+01
1.166845912729818524e+00 1.181019165776628528e-09 -2.965732047676470629e+01
1.184733975751852242e+00 1.360380299870121894e-05 -1.616563045528479137e+01
