# time correlation overlap_with_initial
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00
4.008016032064128098e-02 -9.968035377403584585e-01 9.857527114815377578e-01
8.016032064128256196e-02 -9.872346822079014483e-01 9.441734759583988446e-01
1.202404809619238429e-01 -9.713553706163889911e-01 8.785993218929029069e-01
1.603206412825651239e-01 -9.492702384283665529e-01 7.941158939198916800e-01
2.004008016032063910e-01 -9.211276367572069912e-01 6.969254241659637028e-01
2.404809619238476859e-01 -8.871219778081792517e-01 5.936203078239630226e-01
2.805611222444889807e-01 -8.474953788888784922e-01 4.904702415951565642e-01
3.206412825651302478e-01 -8.025405989099145820e-01 3.928323777767881997e-01
3.607214428857715149e-01 -7.526026074790889142e-01 3.047494533792755034e-01
4.008016032064127820e-01 -6.980811362647348917e-01 2.287733607858708773e-01
4.408817635270541047e-01 -6.394314239249293541e-01 1.659993689920523929e-01
4.809619238476953718e-01 -5.771653159134657596e-01 1.162715444902906875e-01
5.210420841683366389e-01 -5.118503686959288146e-01 7.849385048863043168e-02
5.611222444889779615e-01 -4.441084887213846977e-01 5.098086299935102039e-02
6.012024048096191731e-01 -3.746126571619364243e-01 3.178811612933151592e-02
6.412825651302604957e-01 -3.040823407663184041e-01 1.898102915789129028e-02
6.813627254509018183e-01 -2.332773516442203099e-01 1.082131947630220539e-02
7.214428857715430299e-01 -1.629896709061161297e-01 5.869521276384051002e-03
7.615230460921843525e-01 -9.403436400575421183e-02 3.015947253584937062e-03
8.016032064128255641e-01 -2.723800089202296423e-02 1.460394223364835150e-03
8.416833667334668867e-01 3.657295007887545468e-02 6.621013095508460110e-04
8.817635270541082093e-01 9.658631871284518999e-02 2.787659393126148228e-04
9.218436873747494209e-01 1.520174214519465217e-01 1.078561526294386885e-04
9.619238476953907435e-01 2.021245283204659293e-01 3.781804485813011204e-05
1.002004008016031955e+00 2.462222670520955448e-01 1.179040755250085915e-05
1.042084168336673278e+00 2.836966120973861138e-01 3.180434939029626540e-06
1.082164328657314600e+00 3.140168982035565493e-01 7.120769864816979821e-07
1.122244488977955923e+00 3.367484378265030998e-01 1.234476153038639520e-07
1.162324649298597246e+00 3.515615593759243152e-01 1.449053221356783360e-08
1.202404809619238346e+00 3.582401277093366643e-01 8.127333995808806044e-10
1.242484969939879669e+00 3.566863275970905134e-01 1.656370797932482856e-12
1.282565130260520991e+00 3.469238391605939942e-01 4.281358080245186943e-12
1.322645290581162314e+00 3.290976378935165370e-01 1.694929446009760408e-13
1.362725450901803637e+00 3.034712906352257655e-01 5.215475362441773766e-14
1.402805611222444737e+00 2.704217434984324542e-01 9.917679000827442370e-13
1.442885771543086060e+00 2.304310266730926482e-01 4.040848679545670219e-12
1.482965931863727382e+00 1.840767170605538960e-01 3.033183668809967468e-12
1.523046092184368705e+00 1.320191170396066149e-01 9.076095857222450472e-13
1.563126252505010028e+00 7.498866965545981922e-02 1.082540407600423142e-11
1.603206412825651128e+00 1.377026165016111310e-02 3.240536351234082708e-11
1.643286573146292451e+00 -5.081077620603307449e-02 4.552001745290241873e-11
1.683366733466933773e+00 -1.179053005736531712e-01 3.504826539365651165e-11
1.723446893787575096e+00 -1.866540766680857555e-01 1.362443411390166471e-11
1.763527054108216419e+00 -2.562034433643383124e-01 1.274326896256795552e-11
1.803607214428857741e+00 -3.257172875737051609e-01 5.121974731343682344e-11
1.843687374749498842e+00 -3.943901812003430263e-01 1.144337980134479868e-10
1.883767535070140164e+00 -4.614565846713967745e-01 1.645078343796449975e-10
1.923847695390781487e+00 -5.262004430064184390e-01 1.706426972164679360e-10
1.963927855711422810e+00 -5.879611495147601952e-01 1.319509482248887970e-10
2.004008016032063910e+00 -6.461392341310189247e-01 7.521037610626711961e-11
2.044088176352705233e+00 -7.001991534265331607e-01 3.278572481122459990e-11
2.084168336673346555e+00 -7.496713427109148453e-01 2.053360743621301796e-11
2.124248496993987878e+00 -7.941523225474904635e-01 3.163648104964940094e-11
2.164328657314629201e+00 -8.333038719391429039e-01 4.714351501730190886e-11
2.204408817635270523e+00 -8.668512353959563210e-01 5.172943082399692285e-11
2.244488977955911846e+00 -8.945804421796440531e-01 4.238572234695383247e-11
2.284569138276553169e+00 -9.163355156811184843e-01 2.613214587001316065e-11
2.324649298597194491e+00 -9.320150181229289732e-01 1.181832663149907109e-11
2.364729458917835370e+00 -9.415691043559355489e-01 3.730098172566709879e-12
2.404809619238476692e+00 -9.449962408208485432e-01 9.001389870097644838e-13
2.444889779559118015e+00 -9.423407433254838983e-01 3.867306500821613205e-13
2.484969939879759337e+00 -9.336903519531306594e-01 3.429146625552801567e-13
2.525050100200400660e+00 -9.191745981125079012e-01 4.682107128725288350e-13
2.565130260521041983e+00 -8.989635725557209023e-01 8.566327730468805071e-13
2.605210420841683305e+00 -8.732671373516459612e-01 1.865514205658104611e-12
2.645290581162324628e+00 -8.423348616483770090e-01 6.205352407254552677e-12
2.685370741482965951e+00 -8.064557828729309596e-01 2.160999996253528098e-11
2.725450901803607273e+00 -7.659591575924927787e-01 6.090611104349073670e-11
2.765531062124248596e+00 -7.212142295519289314e-01 1.375774162381691955e-10
2.805611222444889474e+00 -6.726311948403843610e-01 2.580607621618755226e-10
2.845691382765530797e+00 -6.206602889046503035e-01 4.147262085737503160e-10
2.885771543086172120e+00 -5.657922292124482055e-01 5.835746704943769026e-10
2.925851703406813442e+00 -5.085559139651270044e-01 7.282991128101400838e-10
2.965931863727454765e+00 -4.495176022253463133e-01 8.088079271911711286e-10
3.006012024048096087e+00 -3.892766343625054248e-01 7.906196881631439857e-10
3.046092184368737410e+00 -3.284627632579078527e-01 6.533363846527986570e-10
3.086172344689378733e+00 -2.677303481638130256e-01 4.033069188429685104e-10
3.126252505010020055e+00 -2.077506190689429044e-01 1.106128148403771441e-10
3.166332665330661378e+00 -1.492061342895582843e-01 2.662696462667751997e-11
3.206412825651302256e+00 -9.278262885660659709e-02 9.164803580389439585e-10
3.246492985971943579e+00 -3.915733156673966570e-02 4.932543672127032100e-09
3.286573146292584902e+00 1.100949157039626813e-02 1.777388504306490596e-08
3.326653306613226224e+00 5.708573919351661585e-02 5.375928053613812162e-08
3.366733466933867547e+00 9.847752920592459103e-02 1.471793274579259883e-07
3.406813627254508869e+00 1.346418643974146567e-01 3.766011349045246285e-07
3.446893787575150192e+00 1.650961618747433524e-01 9.146556409171439015e-07
3.486973947895791515e+00 1.894269053215597021e-01 2.125769073487052820e-06
3.527054108216432837e+00 2.073002085822225615e-01 4.750721468626401667e-06
3.567134268537074160e+00 2.184687324814157949e-01 1.024175366327201285e-05
3.607214428857715482e+00 2.227774298755041960e-01 2.134861515819871919e-05
3.647294589178356361e+00 2.201678902771985469e-01 4.310649188579463868e-05
3.687374749498997684e+00 2.106803972905821887e-01 8.444121258605249427e-05
3.727454909819639006e+00 1.944541045443484439e-01 1.606832367815534636e-04
3.767535070140280329e+00 1.717249952285328507e-01 2.973595199928620527e-04
3.807615230460921651e+00 1.428218646503700007e-01 5.356947059513843430e-04
3.847695390781562974e+00 1.081602082330011400e-01 9.402701711979265979e-04
3.887775551102204297e+00 6.823452090261850067e-02 1.609224817765508766e-03
3.927855711422845619e+00 2.360870167551425841e-02 2.687176901407457678e-03
3.967935871743486942e+00 -2.509434166064703278e-02 4.380674492705712367e-03
4.008016032064127820e+00 -7.720472491307447949e-02 6.975349926824411101e-03
4.048096192384769587e+00 -1.320173709868458223e-01 1.085315975872253036e-02
4.088176352705410466e+00 -1.888051528596562667e-01 1.650696976408258174e-02
4.128256513026052232e+00 -2.468306561368818208e-01 2.454877461402437885e-02
4.168336673346693111e+00 -3.053590487633130457e-01 3.570662278198317302e-02
4.208416833667334878e+00 -3.636685371055809468e-01 5.080508038109825264e-02
4.248496993987975756e+00 -4.210617412067689802e-01 7.072377406005314615e-02
4.288577154308616635e+00 -4.768738743488195597e-01 9.633048342792627228e-02
4.328657314629258401e+00 -5.304817402654171676e-01 1.283871260232934686e-01
4.368737474949899280e+00 -5.813091037261512994e-01 1.674319825841784903e-01
4.408817635270541047e+00 -6.288328631167950933e-01 2.136457986313061719e-01
4.448897795591181925e+00 -6.725855515158595255e-01 2.667160967015364537e-01
4.488977955911823692e+00 -7.121586872865127704e-01 3.257186810870129068e-01
4.529058116232464570e+00 -7.472027654352019210e-01 3.890390527456063507e-01
4.569138276553106337e+00 -7.774281707496564220e-01 4.543573335124422852e-01
4.609218436873747216e+00 -8.026033208188831924e-01 5.187150359127998822e-01
4.649298597194388982e+00 -8.225537835949033871e-01 5.786759682712606656e-01
4.689378757515029861e+00 -8.371593784753162959e-01 6.305770473774167106e-01
4.729458917835670739e+00 -8.463522458316967700e-01 6.708540378781766567e-01
4.769539078156312506e+00 -8.501136950690361127e-01 6.964058821135328259e-01
4.809619238476953385e+00 -8.484719307943662248e-01 7.049547578907187084e-01
4.849699398797595151e+00 -8.414992786131146874e-01 6.953465599701530442e-01
4.889779559118236030e+00 -8.293101090395392783e-01 6.677442429685677139e-01
4.929859719438877796e+00 -8.120588143457899699e-01 6.236741670461459774e-01
4.969939879759518675e+00 -7.899382308957185739e-01 5.659086755920368361e-01
5.010020040080160442e+00 -7.631784350827892638e-01 4.981930381644032457e-01
5.050100200400801320e+00 -7.320456978400318171e-01 4.248503678196860478e-01
5.090180360721443087e+00 -6.968418695465573576e-01 3.503218230541418343e-01
5.130260521042083965e+00 -6.579036522574432944e-01 2.787081824162328525e-01
5.170340681362724844e+00 -6.156021075682265309e-01 2.133816702711273938e-01
5.210420841683366611e+00 -5.703418380120384157e-01 1.567203960090341186e-01
5.250501002004007489e+00 -5.225600181606231409e-01 1.099970780542618848e-01
5.290581162324649256e+00 -4.727249755812180099e-01 7.342353502142046073e-02
5.330661322645290134e+00 -4.213341287500873555e-01 4.632642722857049922e-02
5.370741482965931901e+00 -3.689114730043510093e-01 2.740893915083703058e-02
5.410821643286572780e+00 -3.160039164553337665e-01 1.504381473932134630e-02
5.450901803607214546e+00 -2.631773083436723670e-01 7.545641457053180526e-03
5.490981963927855425e+00 -2.110108867505660069e-01 3.382908986409468872e-03
5.531062124248497192e+00 -1.600917181978532555e-01 1.308992041835232252e-03
5.571142284569138070e+00 -1.110072804702497140e-01 4.111366498063943908e-04
5.611222444889778949e+00 -6.433847825471637749e-02 9.230123044536864827e-05
5.651302605210420715e+00 -2.065073544800694744e-02 1.030276009892817590e-05
5.691382765531061594e+00 1.951393695957695865e-02 1.432088897330055470e-07
5.731462925851703361e+00 5.564662984793346256e-02 9.197299369311418602e-07
5.771543086172344239e+00 8.727966939441771099e-02 2.683615111733197005e-07
5.811623246492986006e+00 1.139961210566005911e-01 4.457687484799648786e-07
5.851703406813626884e+00 1.354372035825837650e-01 3.177749712096284774e-06
5.891783567134268651e+00 1.513105170770500940e-01 6.739669273426006600e-06
5.931863727454909530e+00 1.613957806186103461e-01 8.354566861588449441e-06
5.971943887775551296e+00 1.655507366198593067e-01 6.891864836802569600e-06
