# time correlation overlap_with_initial
0.000000000000000000e+00 -1.000000000000000000e+00 1.000000000000000000e+00
4.008016032064128098e-02 -9.967942314121899239e-01 9.856729174025214979e-01
8.016032064128256196e-02 -9.871974905912899168e-01 9.438674386055038168e-01
1.202404809619238429e-01 -9.712718213196277484e-01 8.779574294460318340e-01
1.603206412825651239e-01 -9.491220544238858636e-01 7.930819263635393579e-01
2.004008016032063910e-01 -9.208968537041557489e-01 6.955030525729856139e-01
2.404809619238476859e-01 -8.867910769922254799e-01 5.918688253139636757e-01
2.805611222444889807e-01 -8.470474921504449473e-01 4.884912919919098262e-01
3.206412825651302478e-01 -8.019596932557140345e-01 3.907508157339960042e-01
3.607214428857715149e-01 -7.518738089905914190e-01 3.026928403616298557e-01
4.008016032064127820e-01 -6.971909531152362671e-01 2.268537008045840853e-01
4.408817635270541047e-01 -6.383681905442243343e-01 1.643003990428149597e-01
4.809619238476953718e-01 -5.759194289920606113e-01 1.148426057908756293e-01
5.210420841683366389e-01 -5.104148165427938588e-01 7.735040990051794685e-02
5.611222444889779615e-01 -4.424790579072666596e-01 5.011004095103781947e-02
6.012024048096191731e-01 -3.727884882484404083e-01 3.115717713301784791e-02
6.412825651302604957e-01 -3.020660476232372438e-01 1.854660780553632829e-02
6.813627254509018183e-01 -2.310755259799803785e-01 1.053756710295596609e-02
7.214428857715430299e-01 -1.606128544487855081e-01 5.694144951559854291e-03
7.615230460921843525e-01 -9.149741805030398023e-02 2.913720635606716850e-03
8.016032064128255641e-01 -2.455988341469358960e-02 1.404443522319395211e-03
8.416833667334668867e-01 3.936902273378532074e-02 6.335078074478295773e-04
8.817635270541082093e-01 9.947331178419960285e-02 2.652215532388390185e-04
9.218436873747494209e-01 1.549645721937080445e-01 1.019656650605501870e-04
9.619238476953907435e-01 2.050979884350357940e-01 3.549594652478422872e-05
1.002004008016031955e+00 2.491854467225743941e-01 1.097505814559441073e-05
1.042084168336673278e+00 2.866109702355548183e-01 2.931753222274352667e-06
1.082164328657314600e+00 3.168424922405561617e-01 6.486464085996824072e-07
1.122244488977955923e+00 3.394447732256799521e-01 1.107337426605141032e-07
1.162324649298597246e+00 3.540882517842166011e-01 1.270925672598083872e-08
1.202404809619238346e+00 3.605577054378156232e-01 6.813466238590317194e-10
1.242484969939879669e+00 3.587568815388888499e-01 7.650477879108897430e-13
1.282565130260520991e+00 3.487116775952527892e-01 4.022398381911991655e-12
1.322645290581162314e+00 3.305697907439090200e-01 1.214191812676666559e-13
1.362725450901803637e+00 3.045979470309413961e-01 2.056905812883204266e-15
1.402805611222444737e+00 2.711764934890673051e-01 9.330257326547187557e-13
1.442885771543086060e+00 2.307910639619109305e-01 3.379513683822425390e-12
1.482965931863727382e+00 1.840227401512628536e-01 1.974398672964427855e-12
1.523046092184368705e+00 1.315353418903443261e-01 2.279321439879437182e-13
1.563126252505010028e+00 7.406236493553926270e-02 9.143827977767583829e-12
1.603206412825651128e+00 1.239167366396091985e-02 2.624405112473766387e-11
1.643286573146292451e+00 -5.264922069380876396e-02 3.345491272510456365e-11
1.683366733466933773e+00 -1.202090253215424842e-01 2.061005636203481132e-11
1.723446893787575096e+00 -1.894273812109299182e-01 2.483836003179212704e-12
1.763527054108216419e+00 -2.594493810498277875e-01 6.405032727011831467e-12
1.803607214428857741e+00 -3.294387575876392971e-01 4.381158429551358750e-11
1.843687374749498842e+00 -3.985895819501643067e-01 9.635577219122534516e-11
1.883767535070140164e+00 -4.661367992936968907e-01 1.301296036210298631e-10
1.923847695390781487e+00 -5.313642427508201704e-01 1.233812834679632811e-10
1.963927855711422810e+00 -5.936119267708653835e-01 8.249385391961902711e-11
2.004008016032063910e+00 -6.522801764673831215e-01 3.444268971935387231e-11
2.044088176352705233e+00 -7.068336453209765891e-01 5.087978308026777016e-12
2.084168336673346555e+00 -7.568019606851204006e-01 2.319321997908493006e-12
2.124248496993987878e+00 -8.017809056781084465e-01 1.547081483114549025e-11
2.164328657314629201e+00 -8.414304254145378303e-01 2.768061935968052265e-11
2.204408817635270523e+00 -8.754737319149407115e-01 2.898292396680523651e-11
2.244488977955911846e+00 -9.036937512852309951e-01 2.056363066618422981e-11
2.284569138276553169e+00 -9.259310443817881930e-01 9.792962328758077853e-12
2.324649298597194491e+00 -9.420797955599345963e-01 2.675788720837557205e-12
2.364729458917835370e+00 -9.520853974543200815e-01 2.197435355009610128e-13
2.404809619238476692e+00 -9.559409156737864732e-01 9.482246324325410643e-14
2.444889779559118015e+00 -9.536849985094510984e-01 1.609221368174738662e-13
2.484969939879759337e+00 -9.453994504645465424e-01 3.000955529294930413e-14
2.525050100200400660e+00 -9.312078482906787080e-01 1.631244830763361110e-14
2.565130260521041983e+00 -9.112744806309035495e-01 1.350732064548467716e-14
2.605210420841683305e+00 -8.858037369221966051e-01 9.267062877729739177e-13
2.645290581162324628e+00 -8.550402814979274346e-01 8.381214319863689903e-12
2.685370741482965951e+00 -8.192689850893587478e-01 3.532543699604507992e-11
2.725450901803607273e+00 -7.788158539529410618e-01 9.976905534983330445e-11
2.765531062124248596e+00 -7.340480407687873798e-01 2.168390830243823036e-10
2.805611222444889474e+00 -6.853747881326555103e-01 3.884974770070243792e-10
2.845691382765530797e+00 -6.332469218323467652e-01 5.965718886848938557e-10
2.885771543086172120e+00 -5.781569293610784310e-01 8.033713543671772862e-10
2.925851703406813442e+00 -5.206373215371353780e-01 9.601427410927487681e-10
2.965931863727454765e+00 -4.612589928273916895e-01 1.019449963329702912e-09
3.006012024048096087e+00 -4.006279145114273188e-01 9.466479951456161464e-10
3.046092184368737410e+00 -3.393818545439146184e-01 7.295756057362886031e-10
3.086172344689378733e+00 -2.781825555778798531e-01 3.950214298351736208e-10
3.126252505010020055e+00 -2.177124706547209354e-01 6.400348357452232649e-11
3.166332665330661378e+00 -1.586650317420673917e-01 1.205622461587404695e-10
3.206412825651302256e+00 -1.017361424304585038e-01 1.681992502847835477e-09
3.246492985971943579e+00 -4.761519325004746200e-02 7.810061468203273079e-09
3.286573146292584902e+00 3.025685269298344221e-03 2.645883742502804350e-08
3.326653306613226224e+00 4.954253906744143093e-02 7.729971861929771701e-08
3.366733466933867547e+00 9.133184176973822843e-02 2.068173113252854621e-07
3.406813627254508869e+00 1.278399544662870702e-01 5.201846829878212913e-07
3.446893787575150192e+00 1.585747532111855818e-01 1.245781861176723846e-06
3.486973947895791515e+00 1.831153872759710699e-01 2.860425290675250231e-06
3.527054108216432837e+00 2.011215584695684733e-01 6.323139433167864005e-06
3.567134268537074160e+00 2.123406496650374342e-01 1.349494809755771915e-05
3.607214428857715482e+00 2.166144350390351858e-01 2.786570452371294029e-05
3.647294589178356361e+00 2.138825075719122948e-01 5.576627839096373184e-05
3.687374749498997684e+00 2.041849940937741914e-01 1.083193290836631018e-04
